#mu0  mu1  mu2   x0              x1                 x2              mua   mub  xa                  xb                 T       b              u               phi
-0.4  0.5  -0.1  0.5             0.0                0.5             -0.3  0.9  0.0                 0.0                30.0    386.816865025  -1.31774118     -0.81774118
-0.4  0.5  -0.1  0.5             0.0                0.5             -0.3  0.9  0.0                 0.0                40.0    290.112648769  -1.31774118     -0.81774118
-0.4  0.5  -0.1  0.5             0.0                0.5             -0.3  0.9  0.0                 0.0                50.0    232.090119015  -1.31774118     -0.81774118
-0.4  0.5  -0.1  0.5             0.0                0.5             -0.3  0.9  0.0                 0.0                60.0    193.408432513  -1.31774118     -0.81774118
-0.4  0.5  -0.1  0.5             0.0                0.5             -0.3  0.9  0.0                 0.0                70.0    165.778656439  -1.31774118     -0.81774118
-0.4  0.5  -0.1  0.5             0.0                0.5             -0.3  0.9  0.0                 0.0                80.0    145.056324384  -1.31774118     -0.81774118
-0.4  0.5  -0.1  0.5             0.0                0.5             -0.3  0.9  0.0                 0.0                90.0    128.938955008  -1.31774118     -0.81774118
-0.4  0.5  -0.1  0.5             0.0                0.5             -0.3  0.9  0.0                 0.0                100.0   116.045059507  -1.31774118     -0.81774118
-0.4  0.5  -0.1  0.5             0.0                0.5             -0.3  0.9  0.0                 0.0                110.0   105.495508643  -1.31774118     -0.81774118
-0.4  0.5  -0.1  0.499999721022  2.7897800293e-07   0.5             -0.3  0.9  8.59441979932e-18   5.57956005859e-07  120.0   96.7042162563  -1.317740589    -0.81774109116
-0.4  0.5  -0.1  0.499999163066  8.36934009766e-07  0.5             -0.3  0.9  3.14503333316e-18   1.67386801953e-06  130.0   89.2654303904  -1.317739407    -0.81774091348
-0.4  0.5  -0.1  0.499999581533  4.18467004883e-07  0.5             -0.3  0.9  5.70836678978e-17   8.36934009766e-07  140.0   82.8893282196  -1.3177402935   -0.81774104674
-0.4  0.5  -0.1  0.499997070731  2.9292690332e-06   0.5             -0.3  0.9  -2.18653085004e-17  5.85853806641e-06  150.0   77.363373005   -1.31773497449  -0.817740247179
-0.4  0.5  -0.1  0.499996094308  3.90569204395e-06  0.5             -0.3  0.9  -5.86155269829e-17  7.81138408789e-06  160.0   72.5281621922  -1.31773290599  -0.817739936238
-0.4  0.5  -0.1  0.499985632633  1.43673671621e-05  0.5             -0.3  0.9  1.57395662259e-17   2.87347343242e-05  170.0   68.2617997103  -1.31771075786  -0.817736619117
