#mu0  mu1  mu2  x0              x1              x2              mua   mub  xa                  xb              T       b              u                phi
-0.8  0.5  0.3  0.345908313321  0.154091686679  0.5             -1.1  1.3  -8.32667268469e-17  0.308183373357  30.0    386.816865025  -1.00801127747   -0.908649662839
-0.8  0.5  0.3  0.347484678528  0.152515321472  0.5             -1.1  1.3  2.77555756156e-17   0.305030642944  40.0    290.112648769  -1.01444937785   -0.910989213673
-0.8  0.5  0.3  0.346469617064  0.153530382936  0.5             -1.1  1.3  -2.77555756156e-17  0.307060765873  50.0    232.090119015  -1.01259711954   -0.911776115178
-0.8  0.5  0.3  0.345564472932  0.154435527068  0.5             -1.1  1.3  5.55111512313e-17   0.308871054135  60.0    193.408432513  -1.01040350093   -0.911935871303
-0.8  0.5  0.3  0.345257039173  0.154742960827  0.5             -1.1  1.3  -2.77555756156e-17  0.309485921654  70.0    165.778656439  -1.00979928329   -0.912130981445
-0.8  0.5  0.3  0.345832570793  0.154167429207  0.5             -1.1  1.3  -2.77555756156e-17  0.308334858413  80.0    145.056324384  -1.011701459     -0.912536774933
-0.8  0.5  0.3  0.345770358699  0.154229641301  0.5             -1.1  1.3  2.77555756156e-17   0.308459282602  90.0    128.938955008  -1.01154716679   -0.912544234177
-0.8  0.5  0.3  0.346407683947  0.153592316053  0.5             -1.1  1.3  2.77555756156e-17   0.307184632106  100.0   116.045059507  -1.01417930429   -0.913519326033
-0.8  0.5  0.3  0.347010555412  0.152989444588  0.5             -1.1  1.3  -2.77555756156e-17  0.305978889177  110.0   105.495508643  -1.01697901995   -0.914751575875
-0.8  0.5  0.3  0.346580231842  0.153419768158  0.5             -1.1  1.3  -8.32667268469e-17  0.306839536316  120.0   96.7042162563  -1.01607638894   -0.914967786148
-0.8  0.5  0.3  0.346611756356  0.153388243644  0.5             -1.1  1.3  -5.55111512313e-17  0.306776487288  130.0   89.2654303904  -1.01635303741   -0.91516247088
-0.8  0.5  0.3  0.349852783308  0.150147216692  0.5             -1.1  1.3  -2.77555756156e-17  0.300294433385  140.0   82.8893282196  -1.02572303939   -0.916105802791
-0.8  0.5  0.3  0.35041129727   0.14958870273   0.5             -1.1  1.3  8.32667268469e-17   0.29917740546   150.0   77.363373005   -1.02732326446   -0.916253891555
-0.8  0.5  0.3  0.350472532942  0.149527467058  0.5             -1.1  1.3  0.0                 0.299054934117  160.0   72.5281621922  -1.02754379916   -0.91631521351
-0.8  0.5  0.3  0.349641736448  0.150358263552  0.5             -1.1  1.3  0.0                 0.300716527103  170.0   68.2617997103  -1.02536242147   -0.916293906705
-0.8  0.5  0.3  0.347797970826  0.152202029174  0.5             -1.1  1.3  2.77555756156e-17   0.304404058349  180.0   64.4694775042  -1.020943171     -0.916668446855
-0.8  0.5  0.3  0.350263020461  0.149736979539  0.5             -1.1  1.3  5.55111512313e-17   0.299473959077  190.0   61.0763471092  -1.03158332817   -0.920899474969
-0.8  0.5  0.3  0.351559989198  0.148440010802  0.5             -1.1  1.3  2.77555756156e-17   0.296880021604  200.0   58.0225297537  -1.03591537769   -0.921859405773
-0.8  0.5  0.3  0.351558454819  0.148441545181  0.5             -1.1  1.3  0.0                 0.296883090362  210.0   55.2595521464  -1.0359105863    -0.921858603775
-0.8  0.5  0.3  0.351557059929  0.148442940071  0.5             -1.1  1.3  0.0                 0.296885880142  220.0   52.7477543216  -1.03590633411   -0.921857978291
-0.8  0.5  0.3  0.351549527523  0.148450472477  0.5             -1.1  1.3  0.0                 0.296900944954  230.0   50.4543736989  -1.03588363235   -0.921854860787
-0.8  0.5  0.3  0.351546737743  0.148453262257  0.5             -1.1  1.3  2.77555756156e-17   0.296906524514  240.0   48.3521081281  -1.03587450367   -0.921852985538
-0.8  0.5  0.3  0.35154297154   0.14845702846   0.5             -1.1  1.3  -8.32667268469e-17  0.29691405692   250.0   46.418023803   -1.03586380998   -0.92185208398
-0.8  0.5  0.3  0.351533346799  0.148466653201  0.5             -1.1  1.3  0.0                 0.296933306403  260.0   44.6327151952  -1.03583480582   -0.921848104142
-0.8  0.5  0.3  0.351521629723  0.148478370277  0.5             -1.1  1.3  5.55111512313e-17   0.296956740555  270.0   42.9796516694  -1.03579984433   -0.921843607047
-0.8  0.5  0.3  0.351501961773  0.148498038227  0.5             -1.1  1.3  2.77555756156e-17   0.296996076453  280.0   41.4446641098  -1.03573875094   -0.921833650333
-0.8  0.5  0.3  0.351487733895  0.148512266105  0.5             -1.1  1.3  0.0                 0.29702453221   290.0   40.0155377612  -1.03569551697   -0.921827408846
-0.8  0.5  0.3  0.351453698579  0.148546301421  0.5             -1.1  1.3  -2.77555756156e-17  0.297092602842  300.0   38.6816865025  -1.03559216364   -0.921812547334
-0.8  0.5  0.3  0.351433333185  0.148566666815  0.5             -1.1  1.3  2.77555756156e-17   0.297133333631  310.0   37.4338901637  -1.03552752295   -0.92180085667
-0.8  0.5  0.3  0.351399297868  0.148600702132  0.5             -1.1  1.3  5.55111512313e-17   0.297201404264  320.0   36.2640810961  -1.03542157648   -0.921783402019
-0.8  0.5  0.3  0.351335830372  0.148664169628  0.5             -1.1  1.3  -5.55111512313e-17  0.297328339255  330.0   35.1651695477  -1.03522704796   -0.921753888987
-0.8  0.5  0.3  0.351301097611  0.148698902389  0.5             -1.1  1.3  0.0                 0.297397804778  340.0   34.1308998551  -1.03512103179   -0.921738177998
-0.8  0.5  0.3  0.351209313848  0.148790686152  0.5             -1.1  1.3  -2.77555756156e-17  0.297581372304  350.0   33.1557312879  -1.0348403447    -0.921696128693
-0.8  0.5  0.3  0.351151983868  0.148848016132  0.5             -1.1  1.3  0.0                 0.297696032263  360.0   32.2347387521  -1.03466370863   -0.921668550569
-0.8  0.5  0.3  0.350998545967  0.149001454033  0.5             -1.1  1.3  2.77555756156e-17   0.298002908067  370.0   31.3635295966  -1.03419118893   -0.921594969421
-0.8  0.5  0.3  0.350902298556  0.149097701444  0.5             -1.1  1.3  -5.55111512313e-17  0.298195402889  380.0   30.5381735546  -1.03388932073   -0.921543344486
-0.8  0.5  0.3  0.350878585425  0.149121414575  0.5             -1.1  1.3  -8.32667268469e-17  0.298242829149  390.0   29.7551434635  -1.03382023975   -0.92153591764
-0.8  0.5  0.3  0.350720404898  0.149279595102  0.5             -1.1  1.3  0.0                 0.298559190205  400.0   29.0112648769  -1.03332457647   -0.92145152374
-0.8  0.5  0.3  0.350536697882  0.149463302118  0.5             -1.1  1.3  2.77555756156e-17   0.298926604235  410.0   28.3036730506  -1.03275521435   -0.92135979986
-0.8  0.5  0.3  0.350346574373  0.149653425627  0.5             -1.1  1.3  -8.32667268469e-17  0.299306851253  420.0   27.6297760732  -1.03217012435   -0.921269030978
-0.8  0.5  0.3  0.350262183527  0.149737816473  0.5             -1.1  1.3  -2.77555756156e-17  0.299475632945  430.0   26.9872231413  -1.03190949733   -0.921227820164
-0.8  0.5  0.3  0.350136782915  0.149863217085  0.5             -1.1  1.3  0.0                 0.29972643417   440.0   26.3738771608  -1.03151554663   -0.92115991105
-0.8  0.5  0.3  0.349875938482  0.150124061518  0.5             -1.1  1.3  0.0                 0.300248123036  450.0   25.7877910017  -1.03069901322   -0.921021573168
-0.8  0.5  0.3  0.349752072249  0.150247927751  0.5             -1.1  1.3  -2.77555756156e-17  0.300495855503  460.0   25.2271868495  -1.03031536809   -0.920959980245
-0.8  0.5  0.3  0.349353133704  0.150646866296  0.5             -1.1  1.3  8.32667268469e-17   0.301293732592  470.0   24.6904381931  -1.02906673499   -0.920748587355
-0.8  0.5  0.3  0.349187699748  0.150812300252  0.5             -1.1  1.3  -8.32667268469e-17  0.301624600503  480.0   24.1760540641  -1.02856132166   -0.920673302314
-0.8  0.5  0.3  0.348908861234  0.151091138766  0.5             -1.1  1.3  -2.77555756156e-17  0.302182277532  490.0   23.6826652056  -1.02765326154   -0.920490222334
-0.8  0.5  0.3  0.348590128866  0.151409871134  0.5             -1.1  1.3  0.0                 0.302819742269  500.0   23.2090119015  -1.02664787394   -0.920313538893
-0.8  0.5  0.3  0.3482472649    0.1517527351    0.5             -1.1  1.3  5.55111512313e-17   0.303505470201  510.0   22.7539332368  -1.02558983441   -0.920146945674
-0.8  0.5  0.3  0.347934530558  0.152065469442  0.5             -1.1  1.3  -2.77555756156e-17  0.304130938884  520.0   22.3163575976  -1.02458074478   -0.919950965331
-0.8  0.5  0.3  0.347675917949  0.152324082051  0.5             -1.1  1.3  2.77555756156e-17   0.304648164102  530.0   21.8952942467  -1.02376295616   -0.91980556949
-0.8  0.5  0.3  0.347349653175  0.152650346825  0.5             -1.1  1.3  -8.32667268469e-17  0.305300693651  540.0   21.4898258347  -1.0226827979    -0.919573699643
-0.8  0.5  0.3  0.347068443347  0.152931556653  0.5             -1.1  1.3  5.55111512313e-17   0.305863113305  550.0   21.0991017286  -1.02181409989   -0.919436147183
-0.8  0.5  0.3  0.3467215342    0.1532784658    0.5             -1.1  1.3  0.0                 0.306556931599  560.0   20.7223320549  -1.02066335363   -0.91918736471
-0.8  0.5  0.3  0.346408939348  0.153591060652  0.5             -1.1  1.3  -5.55111512313e-17  0.307182121304  570.0   20.3587823697  -1.01962752159   -0.918964279283
-0.8  0.5  0.3  0.346107224638  0.153892775362  0.5             -1.1  1.3  8.32667268469e-17   0.307785550725  580.0   20.0077688806  -1.01867942367   -0.918800639608
-0.8  0.5  0.3  0.3457716141    0.1542283859    0.5             -1.1  1.3  5.55111512313e-17   0.3084567718    590.0   19.6686541538  -1.01754942575   -0.918543229092
-0.8  0.5  0.3  0.345519139007  0.154480860993  0.5             -1.1  1.3  -8.32667268469e-17  0.308961721986  600.0   19.3408432512  -1.01670060273   -0.918350841313
-0.8  0.5  0.3  0.345199709193  0.154800290807  0.5             -1.1  1.3  0.0                 0.309600581613  610.0   19.0237802471  -1.01559404093   -0.918074797025
