#mu0  mu1  mu2   x0              x1                 x2              mua  mub  xa                  xb                 T       b              u                phi
-0.1  0.8  -0.7  0.5             0.0                0.5             0.6  0.9  0.0                 0.0                30.0    386.816865025  -1.31774118      -0.51774118
-0.1  0.8  -0.7  0.5             0.0                0.5             0.6  0.9  0.0                 0.0                40.0    290.112648769  -1.31774118      -0.51774118
-0.1  0.8  -0.7  0.5             0.0                0.5             0.6  0.9  0.0                 0.0                50.0    232.090119015  -1.31774118      -0.51774118
-0.1  0.8  -0.7  0.5             0.0                0.5             0.6  0.9  0.0                 0.0                60.0    193.408432513  -1.31774118      -0.51774118
-0.1  0.8  -0.7  0.5             0.0                0.5             0.6  0.9  0.0                 0.0                70.0    165.778656439  -1.31774118      -0.51774118
-0.1  0.8  -0.7  0.5             0.0                0.5             0.6  0.9  0.0                 0.0                80.0    145.056324384  -1.31774118      -0.51774118
-0.1  0.8  -0.7  0.5             0.0                0.5             0.6  0.9  0.0                 0.0                90.0    128.938955008  -1.31774118      -0.51774118
-0.1  0.8  -0.7  0.5             0.0                0.5             0.6  0.9  0.0                 0.0                100.0   116.045059507  -1.31774118      -0.51774118
-0.1  0.8  -0.7  0.499999442044  5.57956005859e-07  0.5             0.6  0.9  1.71888395986e-17   1.11591201172e-06  110.0   105.495508643  -1.317739998     -0.51774100232
-0.1  0.8  -0.7  0.5             0.0                0.5             0.6  0.9  0.0                 0.0                120.0   96.7042162563  -1.31774118      -0.51774118
-0.1  0.8  -0.7  0.499999860511  1.39489001953e-07  0.5             0.6  0.9  4.84892480985e-17   2.78978003906e-07  130.0   89.2654303904  -1.3177408845    -0.51774113558
-0.1  0.8  -0.7  0.499998744599  1.25540101367e-06  0.5             0.6  0.9  8.28669272958e-17   2.51080202734e-06  140.0   82.8893282196  -1.3177385205    -0.517740780219
-0.1  0.8  -0.7  0.499998465621  1.53437901758e-06  0.5             0.6  0.9  -4.21991814322e-17  3.06875803516e-06  150.0   77.363373005   -1.3177379295    -0.517740691379
-0.1  0.8  -0.7  0.499995954819  4.0451810459e-06   0.5             0.6  0.9  -1.01262788844e-17  8.0903620918e-06   160.0   72.5281621922  -1.31773261049   -0.517739891818
-0.1  0.8  -0.7  0.499990933215  9.06678510254e-06  0.5             0.6  0.9  5.40203732441e-17   1.81335702051e-05  170.0   68.2617997103  -1.31772197248   -0.517738292696
-0.1  0.8  -0.7  0.499985353655  1.4646345165e-05   0.5             0.6  0.9  2.43335625087e-17   2.92926903301e-05  180.0   64.4694775042  -1.31771015424   -0.51773651766
-0.1  0.8  -0.7  0.499971683733  2.83162673193e-05  0.5             0.6  0.9  -2.56041119296e-17  5.66325346387e-05  190.0   61.0763471092  -1.31768119345   -0.517732162726
-0.1  0.8  -0.7  0.499957734833  4.22651674766e-05  0.5             0.6  0.9  4.40728183115e-17   8.45303349531e-05  200.0   58.0225297537  -1.31765168322   -0.517727760524
-0.1  0.8  -0.7  0.499931650389  6.83496107695e-05  0.5             0.6  0.9  1.763183783e-17     0.000136699221539  210.0   55.2595521464  -1.31759640402   -0.517719433319
-0.1  0.8  -0.7  0.499886734931  0.000113265069275  0.5             0.6  0.9  -5.71510070171e-17  0.000226530138551  220.0   52.7477543216  -1.31750139353   -0.517705270657
-0.1  0.8  -0.7  0.499831915753  0.000168084246894  0.5             0.6  0.9  -7.47557397929e-17  0.000336168493787  230.0   50.4543736989  -1.31738527115   -0.517687822792
-0.1  0.8  -0.7  0.499768587746  0.000231412253606  0.5             0.6  0.9  -1.024571053e-17    0.000462824507213  240.0   48.3521081281  -1.31725125267   -0.517667794723
-0.1  0.8  -0.7  0.499666202819  0.00033379718076   0.5             0.6  0.9  5.96311194867e-19   0.00066759436152   250.0   46.418023803   -1.31703463643   -0.517635471352
-0.1  0.8  -0.7  0.499564794315  0.000435205684902  0.5             0.6  0.9  -6.28837260042e-17  0.000870411369805  260.0   44.6327151952  -1.31682012662   -0.517603496848
-0.1  0.8  -0.7  0.499431024363  0.000568975637409  0.5             0.6  0.9  -2.84060969191e-17  0.00113795127482   270.0   42.9796516694  -1.31653734416   -0.517561500303
-0.1  0.8  -0.7  0.499303670904  0.000696329095844  0.5             0.6  0.9  3.26344853918e-17   0.00139265819169   280.0   41.4446641098  -1.31626830903   -0.517521701407
-0.1  0.8  -0.7  0.499072537629  0.000927462371447  0.5             0.6  0.9  1.37693675906e-17   0.00185492474289   290.0   40.0155377612  -1.31577979238   -0.517449224647
-0.1  0.8  -0.7  0.498838614573  0.00116194338309   0.499999442044  0.6  0.9  1.11591201174e-06   0.00232388676618   300.0   38.6816865025  -1.3152841601    -0.517376327736
-0.1  0.8  -0.7  0.498567168976  0.00143311000214   0.499999721022  0.6  0.9  5.57956005897e-07   0.00286622000429   310.0   37.4338901637  -1.31471298601   -0.51729291879
-0.1  0.8  -0.7  0.498205892462  0.00179424702721   0.499999860511  0.6  0.9  2.78978002899e-07   0.00358849405442   320.0   36.2640810961  -1.31395187207   -0.51718168411
-0.1  0.8  -0.7  0.497882556956  0.00211744304385   0.5             0.6  0.9  -5.59448321003e-17  0.0042348860877    330.0   35.1651695477  -1.31327244323   -0.517083840711
-0.1  0.8  -0.7  0.497470506446  0.0025306094665    0.499998884088  0.6  0.9  2.2318240254e-06    0.00506121893301   340.0   34.1308998551  -1.31240112988   -0.516957566013
-0.1  0.8  -0.7  0.496988850923  0.00301184652193   0.499999302555  0.6  0.9  1.39489001551e-06   0.00602369304385   350.0   33.1557312879  -1.31139230379   -0.516814464467
-0.1  0.8  -0.7  0.496332276193  0.00366883971933   0.499998884088  0.6  0.9  2.23182402535e-06   0.00733767943865   360.0   32.2347387521  -1.31001369953   -0.516618950115
-0.1  0.8  -0.7  0.495741540271  0.00425957564098   0.499998884088  0.6  0.9  2.23182402541e-06   0.00851915128196   370.0   31.3635295966  -1.30877732431   -0.516445899562
-0.1  0.8  -0.7  0.495111049984  0.0048920187741    0.499996931242  0.6  0.9  6.13751606827e-06   0.00978403754821   380.0   30.5381735546  -1.30745121561   -0.516260531915
-0.1  0.8  -0.7  0.494347487189  0.00565655799172   0.499995954819  0.6  0.9  8.09036209181e-06   0.0113131159834    390.0   29.7551434635  -1.30585533317   -0.516041991768
-0.1  0.8  -0.7  0.493433415762  0.00657341919904   0.499993165039  0.6  0.9  1.36699221542e-05   0.0131468383981    400.0   29.0112648769  -1.30394062715   -0.515780983658
-0.1  0.8  -0.7  0.492485448507  0.00752054951971   0.499994001973  0.6  0.9  1.19960541357e-05   0.0150410990394    410.0   28.3036730506  -1.30197546454   -0.515519651311
-0.1  0.8  -0.7  0.49133801198   0.00867272867269   0.499989259347  0.6  0.9  2.14813062422e-05   0.0173454573454    420.0   27.6297760732  -1.29957799      -0.515201790397
-0.1  0.8  -0.7  0.49021345165   0.00979714951436   0.499989398836  0.6  0.9  2.12023282394e-05   0.0195942990287    430.0   26.9872231413  -1.29725523785   -0.514902828373
-0.1  0.8  -0.7  0.488974789316  0.0110366487823    0.499988561902  0.6  0.9  2.28761962568e-05   0.0220732975646    440.0   26.3738771608  -1.29469913543   -0.514578828953
-0.1  0.8  -0.7  0.487487139114  0.0125361555492    0.499976705337  0.6  0.9  4.65893265244e-05   0.0250723110984    450.0   25.7877910017  -1.29159447037   -0.514187503952
-0.1  0.8  -0.7  0.486055424002  0.0139730317544    0.499971544244  0.6  0.9  5.69115126416e-05   0.0279460635088    460.0   25.2271868495  -1.28864188598   -0.513827490041
-0.1  0.8  -0.7  0.484464970406  0.0155743654924    0.499960664102  0.6  0.9  7.86717968868e-05   0.0311487309849    470.0   24.6904381931  -1.28535281787   -0.513433878839
-0.1  0.8  -0.7  0.482553273639  0.0174947105771    0.499952015783  0.6  0.9  9.5968433081e-05    0.0349894211541    480.0   24.1760540641  -1.28143326015   -0.51298132025
