#mu0  mu1  mu2   x0              x1              x2              mua  mub  xa                  xb              T       b              u                phi
-0.2  1.0  -0.8  0.360095600182  0.139904818285  0.499999581533  0.6  1.2  8.36934009679e-07   0.27980963657   30.0    386.816865025  -1.04484560639   -0.380617672435
-0.2  1.0  -0.8  0.358765712041  0.141234287959  0.5             0.6  1.2  0.0                 0.282468575918  40.0    290.112648769  -1.04261133601   -0.381573627107
-0.2  1.0  -0.8  0.358477667253  0.141522332747  0.5             0.6  1.2  8.32667268469e-17   0.283044665494  50.0    232.090119015  -1.04197808278   -0.381631681373
-0.2  1.0  -0.8  0.358875210907  0.141125765516  0.499999023577  0.6  1.2  1.95284602136e-06   0.282251531031  60.0    193.408432513  -1.0431532941    -0.381856303046
-0.2  1.0  -0.8  0.359147632927  0.140852367073  0.5             0.6  1.2  -2.77555756156e-17  0.281704734145  70.0    165.778656439  -1.04392859762   -0.381974278591
-0.2  1.0  -0.8  0.359094906085  0.140905093915  0.5             0.6  1.2  0.0                 0.28181018783   80.0    145.056324384  -1.04379888683   -0.381971112227
-0.2  1.0  -0.8  0.357249327105  0.142750672895  0.5             0.6  1.2  0.0                 0.28550134579   90.0    128.938955008  -1.03951711057   -0.382118725515
-0.2  1.0  -0.8  0.356771995742  0.143228004258  0.5             0.6  1.2  2.77555756156e-17   0.286456008517  100.0   116.045059507  -1.03854635351   -0.382293563727
-0.2  1.0  -0.8  0.356978718442  0.143119900282  0.499901381276  0.6  1.2  0.000197237448221   0.286239800564  110.0   105.495508643  -1.03937302257   -0.382979125718
-0.2  1.0  -0.8  0.356073295333  0.144011374491  0.499915330176  0.6  1.2  0.000169339647908   0.288022748982  120.0   96.7042162563  -1.03747405003   -0.3832029526
-0.2  1.0  -0.8  0.35604288673   0.144323411388  0.499633701882  0.6  1.2  0.000732596236252   0.288646822775  130.0   89.2654303904  -1.03636737907   -0.383183124139
-0.2  1.0  -0.8  0.356475302635  0.144600855012  0.498923842353  0.6  1.2  0.00215231529424    0.289201710024  140.0   82.8893282196  -1.03509987995   -0.38343332115
-0.2  1.0  -0.8  0.356359247786  0.144739228101  0.498901524113  0.6  1.2  0.00219695177475    0.289478456203  150.0   77.363373005   -1.03512278259   -0.383815101099
-0.2  1.0  -0.8  0.355714948088  0.144705611252  0.49957944066   0.6  1.2  0.000841118679475   0.289411222504  160.0   72.5281621922  -1.03657844025   -0.384376578464
-0.2  1.0  -0.8  0.357231472513  0.142772014712  0.499996512775  0.6  1.2  6.97445007813e-06   0.285544029424  170.0   68.2617997103  -1.04302644774   -0.385683467723
-0.2  1.0  -0.8  0.356970349102  0.143041367974  0.499988282924  0.6  1.2  2.34341522636e-05   0.286082735948  180.0   64.4694775042  -1.04248269021   -0.385796033838
-0.2  1.0  -0.8  0.356239147756  0.143767966183  0.499992886061  0.6  1.2  1.42278781601e-05   0.287535932367  190.0   61.0763471092  -1.04122630441   -0.386277959979
-0.2  1.0  -0.8  0.357886791842  0.14211711385   0.499996094308  0.6  1.2  7.8113840889e-06    0.2842342277    200.0   58.0225297537  -1.04580891835   -0.386894678423
-0.2  1.0  -0.8  0.358199386695  0.141804797975  0.49999581533   0.6  1.2  8.36934009379e-06   0.283609595951  210.0   55.2595521464  -1.04681690507   -0.387153441817
