#mu0  mu1  mu2   x0              x1                 x2              mua  mub  xa                 xb                 T       b              u                phi
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                30.0    386.816865025  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                40.0    290.112648769  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                50.0    232.090119015  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                60.0    193.408432513  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                70.0    165.778656439  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                80.0    145.056324384  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                90.0    128.938955008  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                100.0   116.045059507  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                110.0   105.495508643  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                120.0   96.7042162563  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                130.0   89.2654303904  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                140.0   82.8893282196  -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.5             0.0                0.5             0.8  0.8  0.0                0.0                150.0   77.363373005   -1.31774118      -0.51774118
-0.0  0.8  -0.8  0.500000139489  0.0                0.499999860511  0.8  0.8  2.78978003809e-07  0.0                160.0   72.5281621922  -1.31774089958   -0.517741122766
-0.0  0.8  -0.8  0.500000557956  0.0                0.499999442044  0.8  0.8  1.11591201168e-06  0.0                170.0   68.2617997103  -1.31774005833   -0.517740951063
-0.0  0.8  -0.8  0.500000836934  0.0                0.499999163066  0.8  0.8  1.67386801941e-06  0.0                180.0   64.4694775042  -1.3177394975    -0.517740836594
-0.0  0.8  -0.8  0.500000836934  0.0                0.499999163066  0.8  0.8  1.67386801941e-06  0.0                190.0   61.0763471092  -1.3177394975    -0.517740836594
-0.0  0.8  -0.8  0.500004603137  1.39489001953e-07  0.499995257374  0.8  0.8  9.48525210736e-06  2.78978003906e-07  200.0   58.0225297537  -1.31773135033   -0.517739161717
-0.0  0.8  -0.8  0.500007671895  0.0                0.499992328105  0.8  0.8  1.53437901738e-05  0.0                210.0   55.2595521464  -1.31772575708   -0.517738032115
-0.0  0.8  -0.8  0.500009345763  4.18467004883e-07  0.49999023577   0.8  0.8  1.95284602209e-05  8.36934009766e-07  220.0   52.7477543216  -1.31772066433   -0.517736956647
-0.0  0.8  -0.8  0.50001534379   4.18467004883e-07  0.499984237743  0.8  0.8  3.15245143555e-05  8.36934009766e-07  230.0   50.4543736989  -1.31770860642   -0.517734495574
-0.0  0.8  -0.8  0.500020644372  2.37131302637e-06  0.499976984315  0.8  0.8  4.60313705175e-05  4.74262605273e-06  240.0   48.3521081281  -1.31768988774   -0.517730506942
-0.0  0.8  -0.8  0.500037243563  3.20824703613e-06  0.49995954819   0.8  0.8  8.09036209121e-05  6.41649407227e-06  250.0   46.418023803   -1.31765308143   -0.517722937518
-0.0  0.8  -0.8  0.500048123706  4.74262605371e-06  0.499947133668  0.8  0.8  0.000105732663191  9.48525210742e-06  260.0   44.6327151952  -1.31762486151   -0.517717035839
-0.0  0.8  -0.8  0.50007406866   6.27700507031e-06  0.499919654335  0.8  0.8  0.000160691329809  1.25540101406e-05  270.0   42.9796516694  -1.31756637647   -0.517704972743
-0.0  0.8  -0.8  0.500090946829  1.19960541348e-05  0.499897057117  0.8  0.8  0.000205885766318  2.39921082695e-05  280.0   41.4446641098  -1.31750882599   -0.517692728292
-0.0  0.8  -0.8  0.500112428135  1.86915262109e-05  0.499868880339  0.8  0.8  0.000262239322954  3.73830524219e-05  290.0   40.0155377612  -1.31743802      -0.517677717903
-0.0  0.8  -0.8  0.500169339648  1.95284602197e-05  0.499811131892  0.8  0.8  0.000377736216254  3.90569204395e-05  300.0   38.6816865025  -1.31732014499   -0.517653579502
-0.0  0.8  -0.8  0.500210209925  2.99901353379e-05  0.499759799939  0.8  0.8  0.000480400121412  5.99802706758e-05  310.0   37.4338901637  -1.31719481541   -0.517627119721
-0.0  0.8  -0.8  0.500266145015  4.04518104561e-05  0.499693403175  0.8  0.8  0.000613193650907  8.09036209121e-05  320.0   36.2640810961  -1.31703929643   -0.517594574248
-0.0  0.8  -0.8  0.500312873831  5.84458916582e-05  0.499628680278  0.8  0.8  0.000742639444365  0.000116891783316  330.0   35.1651695477  -1.31687110155   -0.517558726531
-0.0  0.8  -0.8  0.500378991617  7.88112858877e-05  0.499542197097  0.8  0.8  0.000915605806312  0.000157622571775  340.0   34.1308998551  -1.31665426196   -0.517512844658
-0.0  0.8  -0.8  0.500488350995  9.79212791025e-05  0.499413727726  0.8  0.8  0.00117254454721   0.000195842558205  350.0   33.1557312879  -1.31635567328   -0.517450382964
-0.0  0.8  -0.8  0.500566743813  0.000111312223254  0.499321943963  0.8  0.8  0.00135611207328   0.000222624446508  360.0   32.2347387521  -1.31614300473   -0.517405993946
-0.0  0.8  -0.8  0.500681403773  0.000146881918654  0.499171714309  0.8  0.8  0.00165657138266   0.000293763837309  370.0   31.3635295966  -1.31576589447   -0.51732616265
-0.0  0.8  -0.8  0.500780440964  0.000181196213041  0.499038362823  0.8  0.8  0.00192327435366   0.000362392426082  380.0   30.5381735546  -1.31542558054   -0.517254113964
-0.0  0.8  -0.8  0.500938760981  0.000236712835666  0.498824526184  0.8  0.8  0.00235094763248   0.000473425671332  390.0   29.7551434635  -1.3148793641    -0.517138862739
-0.0  0.8  -0.8  0.501008923948  0.000291950480288  0.498699125571  0.8  0.8  0.00260174885731   0.000583900960576  400.0   29.0112648769  -1.314510647     -0.517059166852
-0.0  0.8  -0.8  0.501159293092  0.000348443525925  0.498492263382  0.8  0.8  0.00301547323597   0.00069688705185   410.0   28.3036730506  -1.31397617411   -0.516946062345
-0.0  0.8  -0.8  0.501364620902  0.000409539708613  0.498225839389  0.8  0.8  0.00354832122197   0.000819079417227  420.0   27.6297760732  -1.31331294616   -0.516806866669
-0.0  0.8  -0.8  0.501514153112  0.000510111278746  0.497975735609  0.8  0.8  0.0040485287816    0.00102022255749   430.0   26.9872231413  -1.31259873077   -0.516653731846
-0.0  0.8  -0.8  0.501641925037  0.000583761471575  0.497774313491  0.8  0.8  0.00445137301814   0.00116752294315   440.0   26.3738771608  -1.31203993846   -0.516535055233
-0.0  0.8  -0.8  0.501852832408  0.000707767193973  0.497439400398  0.8  0.8  0.00512119920369   0.00141553438795   450.0   25.7877910017  -1.31110810245   -0.516337489328
-0.0  0.8  -0.8  0.50212218567   0.000792855484931  0.497084958845  0.8  0.8  0.00583008230967   0.00158571096986   460.0   25.2271868495  -1.31021782377   -0.516150458394
-0.0  0.8  -0.8  0.502290130428  0.000942945650621  0.496766923922  0.8  0.8  0.00646615215683   0.00188589130124   470.0   24.6904381931  -1.30926473229   -0.515946367055
-0.0  0.8  -0.8  0.50247983547   0.00110921654049   0.49641094799   0.8  0.8  0.00717810402085   0.00221843308099   480.0   24.1760540641  -1.30820173001   -0.515718959696
-0.0  0.8  -0.8  0.502740540414  0.00126879195829   0.495990667628  0.8  0.8  0.00801866474432   0.00253758391658   490.0   23.6826652056  -1.30702659575   -0.515471594678
-0.0  0.8  -0.8  0.50300375616   0.00145249897336   0.495543744867  0.8  0.8  0.00891251026639   0.00290499794672   500.0   23.2090119015  -1.30574662225   -0.515200628823
-0.0  0.8  -0.8  0.503181744126  0.00162225708827   0.495195998786  0.8  0.8  0.00960800242822   0.00324451417655   510.0   22.7539332368  -1.30469543705   -0.514977450336
-0.0  0.8  -0.8  0.503429616082  0.00179912914227   0.494771254776  0.8  0.8  0.0104574904478    0.00359825828453   520.0   22.3163575976  -1.30347738013   -0.514721979111
-0.0  0.8  -0.8  0.503668979208  0.00210642341273   0.494224597379  0.8  0.8  0.0115508052421    0.00421284682545   530.0   21.8952942467  -1.30174292892   -0.514353850574
-0.0  0.8  -0.8  0.504002915878  0.00234746040744   0.493649623714  0.8  0.8  0.0127007525711    0.00469492081488   540.0   21.4898258347  -1.30009069861   -0.514007237321
-0.0  0.8  -0.8  0.504245347763  0.0025833363091    0.493171315928  0.8  0.8  0.0136573681438    0.0051666726182    550.0   21.0991017286  -1.29864494047   -0.513704173076
-0.0  0.8  -0.8  0.504516095915  0.00283846169297   0.492645442392  0.8  0.8  0.0147091152157    0.00567692338595   560.0   20.7223320549  -1.29706272618   -0.513371557064
-0.0  0.8  -0.8  0.504741510141  0.00323363403442   0.492024855824  0.8  0.8  0.0159502883517    0.00646726806885   570.0   20.3587823697  -1.29500348739   -0.512937532524
-0.0  0.8  -0.8  0.504980733779  0.00357649800029   0.491442768221  0.8  0.8  0.0171144635588    0.00715299600057   580.0   20.0077688806  -1.29313487726   -0.512548844907
-0.0  0.8  -0.8  0.505128173654  0.00402328127232   0.490848545074  0.8  0.8  0.0183029098522    0.00804656254464   590.0   19.6686541538  -1.29102501094   -0.512104588855
