#mu0  mu1   mu2   x0              x1                 x2              mua  mub   xa              xb                 T       b              u               phi
0.5   -0.0  -0.5  0.610372346361  0.0                0.389627653639  1.0  -0.5  0.220744692722  0.0                30.0    386.816865025  -1.1032408049   -1.32398549762
0.5   -0.0  -0.5  0.610423678314  0.0                0.389576321686  1.0  -0.5  0.220847356628  0.0                40.0    290.112648769  -1.10318184057  -1.3240291972
0.5   -0.0  -0.5  0.609160465916  0.0                0.390839534084  1.0  -0.5  0.218320931831  0.0                50.0    232.090119015  -1.10578489879  -1.32410583062
0.5   -0.0  -0.5  0.612687305831  0.0                0.387312694169  1.0  -0.5  0.225374611663  0.0                60.0    193.408432513  -1.0991532563   -1.32452786797
0.5   -0.0  -0.5  0.614955815464  0.0                0.385044184536  1.0  -0.5  0.229911630928  0.0                70.0    165.778656439  -1.09524083319  -1.32515246412
0.5   -0.0  -0.5  0.614922198614  0.0                0.385077801386  1.0  -0.5  0.229844397229  0.0                80.0    145.056324384  -1.09537463005  -1.32521902728
0.5   -0.0  -0.5  0.614671676368  0.0                0.385328323632  1.0  -0.5  0.229343352735  0.0                90.0    128.938955008  -1.09580817193  -1.32515152466
0.5   -0.0  -0.5  0.615778521595  0.0                0.384221478405  1.0  -0.5  0.23155704319   0.0                100.0   116.045059507  -1.09444827978  -1.32600532297
0.5   -0.0  -0.5  0.616747133222  0.0                0.383252866778  1.0  -0.5  0.233494266444  0.0                110.0   105.495508643  -1.09298565343  -1.32647991987
0.5   -0.0  -0.5  0.61649172886   0.0                0.38350827114   1.0  -0.5  0.23298345772   0.0                120.0   96.7042162563  -1.09346665852  -1.32645011624
0.5   -0.0  -0.5  0.616060149889  0.0                0.383939850111  1.0  -0.5  0.232120299779  0.0                130.0   89.2654303904  -1.09426562909  -1.32638592887
0.5   -0.0  -0.5  0.615672788932  0.0                0.384327211068  1.0  -0.5  0.231345577864  0.0                140.0   82.8893282196  -1.09498621589  -1.32633179376
0.5   -0.0  -0.5  0.614931823356  0.0                0.385068176644  1.0  -0.5  0.229863646711  0.0                150.0   77.363373005   -1.09634721076  -1.32621085747
0.5   -0.0  -0.5  0.613993480842  0.0                0.386006519158  1.0  -0.5  0.227986961684  0.0                160.0   72.5281621922  -1.09806515484  -1.32605211652
0.5   -0.0  -0.5  0.61338182157   0.0                0.38661817843   1.0  -0.5  0.22676364314   0.0                170.0   68.2617997103  -1.09916236557  -1.32592600871
0.5   -0.0  -0.5  0.612306500857  0.0                0.387693499143  1.0  -0.5  0.224613001714  0.0                180.0   64.4694775042  -1.10107150599  -1.3256845077
0.5   -0.0  -0.5  0.611110522158  0.0                0.388889477842  1.0  -0.5  0.222221044315  0.0                190.0   61.0763471092  -1.10302065335  -1.32524169767
0.5   -0.0  -0.5  0.611537358502  0.0                0.388462641498  1.0  -0.5  0.223074717005  0.0                200.0   58.0225297537  -1.10141369078  -1.32448840779
0.5   -0.0  -0.5  0.609751201837  0.0                0.390248798163  1.0  -0.5  0.219502403674  0.0                210.0   55.2595521464  -1.10412567524  -1.32362807892
0.5   -0.0  -0.5  0.609010794217  0.0                0.390989205783  1.0  -0.5  0.218021588434  0.0                220.0   52.7477543216  -1.10544466325  -1.32346625169
0.5   -0.0  -0.5  0.607848432367  0.0                0.392151567633  1.0  -0.5  0.215696864734  0.0                230.0   50.4543736989  -1.10755369504  -1.32325055977
0.5   -0.0  -0.5  0.606906602628  0.0                0.393093397372  1.0  -0.5  0.213813205256  0.0                240.0   48.3521081281  -1.10922900348  -1.32304220874
0.5   -0.0  -0.5  0.605907861377  0.0                0.394092138623  1.0  -0.5  0.211815722754  0.0                250.0   46.418023803   -1.11103822469  -1.32285394744
0.5   -0.0  -0.5  0.605300107797  0.0                0.394699892203  1.0  -0.5  0.210600215594  0.0                260.0   44.6327151952  -1.11214830372  -1.32274851931
0.5   -0.0  -0.5  0.604408773077  0.0                0.395591226923  1.0  -0.5  0.208817546154  0.0                270.0   42.9796516694  -1.11377876923  -1.32259631538
0.5   -0.0  -0.5  0.603892524282  0.0                0.396107475718  1.0  -0.5  0.207785048564  0.0                280.0   41.4446641098  -1.11468304435  -1.32246809292
0.5   -0.0  -0.5  0.603072468442  0.0                0.396927531558  1.0  -0.5  0.206144936884  0.0                290.0   40.0155377612  -1.11617708474  -1.32232202163
0.5   -0.0  -0.5  0.602443094067  0.0                0.397556905933  1.0  -0.5  0.204886188134  0.0                300.0   38.6816865025  -1.11730510103  -1.32219128916
0.5   -0.0  -0.5  0.601740906433  0.0                0.398259093567  1.0  -0.5  0.203481812866  0.0                310.0   37.4338901637  -1.11858549671  -1.32206730958
0.5   -0.0  -0.5  0.601097583158  0.0                0.398902416842  1.0  -0.5  0.202195166316  0.0                320.0   36.2640810961  -1.1197318824   -1.32192704871
0.5   -0.0  -0.5  0.600452586014  0.0                0.399547413986  1.0  -0.5  0.200905172029  0.0                330.0   35.1651695477  -1.12086753306  -1.32177270509
0.5   -0.0  -0.5  0.599985995304  0.0                0.400014004696  1.0  -0.5  0.199971990608  0.0                340.0   34.1308998551  -1.12169178127  -1.32166377188
0.5   -0.0  -0.5  0.599523449775  0.0                0.400476550225  1.0  -0.5  0.19904689955   0.0                350.0   33.1557312879  -1.12251947117  -1.32156637072
0.5   -0.0  -0.5  0.59929078212   0.0                0.40070921788   1.0  -0.5  0.198581564241  0.0                360.0   32.2347387521  -1.12289098704  -1.32147255128
0.5   -0.0  -0.5  0.598761839826  0.0                0.401238160174  1.0  -0.5  0.197523679653  0.0                370.0   31.3635295966  -1.12382555742  -1.32134923707
0.5   -0.0  -0.5  0.598323844362  0.0                0.401676155638  1.0  -0.5  0.196647688723  0.0                380.0   30.5381735546  -1.12460186234  -1.32124955106
0.5   -0.0  -0.5  0.598099964514  0.0                0.401900035486  1.0  -0.5  0.196199929028  0.0                390.0   29.7551434635  -1.12497269511  -1.32117262414
0.5   -0.0  -0.5  0.597800342139  0.0                0.402199657861  1.0  -0.5  0.195600684277  0.0                400.0   29.0112648769  -1.12544985433  -1.32105053861
0.5   -0.0  -0.5  0.597335425296  0.0                0.402664574704  1.0  -0.5  0.194670850593  0.0                410.0   28.3036730506  -1.1262699687   -1.32094081929
0.5   -0.0  -0.5  0.59704012708   0.0                0.40295987292   1.0  -0.5  0.19408025416   0.0                420.0   27.6297760732  -1.12675522267  -1.32083547683
0.5   -0.0  -0.5  0.596972753892  0.0                0.403027246108  1.0  -0.5  0.193945507785  0.0                430.0   26.9872231413  -1.12682605027  -1.32077155805
0.5   -0.0  -0.5  0.596610640444  0.0                0.403389359556  1.0  -0.5  0.193221280888  0.0                440.0   26.3738771608  -1.12743855684  -1.32065983772
0.5   -0.0  -0.5  0.596402941321  0.0                0.403597058679  1.0  -0.5  0.192805882642  0.0                450.0   25.7877910017  -1.12777221321  -1.32057809586
0.5   -0.0  -0.5  0.596074026255  0.0                0.403925973745  1.0  -0.5  0.19214805251   0.0                460.0   25.2271868495  -1.12831991267  -1.32046796518
0.5   -0.0  -0.5  0.596058263998  0.0                0.403941736002  1.0  -0.5  0.192116527996  0.0                470.0   24.6904381931  -1.1282629845   -1.32037951249
0.5   -0.0  -0.5  0.595874278005  0.0                0.404125721995  1.0  -0.5  0.19174855601   0.0                480.0   24.1760540641  -1.1285524586   -1.32030101461
0.5   -0.0  -0.5  0.595767987386  0.0                0.404232012614  1.0  -0.5  0.191535974771  0.0                490.0   23.6826652056  -1.12865075928  -1.32018673406
0.5   -0.0  -0.5  0.595688757633  0.0                0.404311242367  1.0  -0.5  0.191377515266  0.0                500.0   23.2090119015  -1.12874648578  -1.32012400104
0.5   -0.0  -0.5  0.595517883606  0.0                0.404482116394  1.0  -0.5  0.191035767212  0.0                510.0   22.7539332368  -1.12899743751  -1.32003320472
0.5   -0.0  -0.5  0.595376581247  0.0                0.404623418753  1.0  -0.5  0.190753162495  0.0                520.0   22.3163575976  -1.12919128511  -1.31994444761
0.5   -0.0  -0.5  0.595382579274  0.0                0.404617420726  1.0  -0.5  0.190765158549  0.0                530.0   21.8952942467  -1.12908469402  -1.31984985257
0.5   -0.0  -0.5  0.595376441758  0.0                0.404623558242  1.0  -0.5  0.190752883517  0.0                540.0   21.4898258347  -1.12901302546  -1.31976590898
0.5   -0.0  -0.5  0.59524769341   0.0                0.40475230659   1.0  -0.5  0.19049538682   0.0                550.0   21.0991017286  -1.12919221716  -1.31968760398
0.5   -0.0  -0.5  0.595121595352  0.0                0.404878404648  1.0  -0.5  0.190243190705  0.0                560.0   20.7223320549  -1.12933195515  -1.31957514585
0.5   -0.0  -0.5  0.595057988368  0.0                0.404942011632  1.0  -0.5  0.190115976735  0.0                570.0   20.3587823697  -1.12937446313  -1.31949043986
0.5   -0.0  -0.5  0.595118805572  0.0                0.404881194428  1.0  -0.5  0.190237611145  0.0                580.0   20.0077688806  -1.12919292064  -1.31943053178
0.5   -0.0  -0.5  0.595083933322  0.0                0.404916066678  1.0  -0.5  0.190167866644  0.0                590.0   19.6686541538  -1.12913523846  -1.3193031051
0.5   -0.0  -0.5  0.595067892087  0.0                0.404932107913  1.0  -0.5  0.190135784174  0.0                600.0   19.3408432512  -1.12909380544  -1.31922958962
0.5   -0.0  -0.5  0.594988104378  0.0                0.405011895622  1.0  -0.5  0.189976208756  0.0                610.0   19.0237802471  -1.12915811824  -1.31913432699
0.5   -0.0  -0.5  0.595110296743  0.0                0.404889703257  1.0  -0.5  0.190220593487  0.0                620.0   18.7169450819  -1.12883434101  -1.3190549345
