#mu0  mu1  mu2   x0              x1              x2              mua  mub  xa              xb              T       b              u                 phi
-0.1  1.2  -1.1  0.450217072784  0.351449234931  0.198333692285  1.0  1.3  0.60333261543   0.702898469861  30.0    386.816865025  -0.103998393421   -0.42109901967
-0.1  1.2  -1.1  0.450543477048  0.351484804626  0.197971718326  1.0  1.3  0.604056563348  0.702969609252  40.0    290.112648769  -0.103381815315   -0.421298870691
-0.1  1.2  -1.1  0.452061954319  0.355449082051  0.19248896363   1.0  1.3  0.61502207274   0.710898164102  50.0    232.090119015  -0.08291017696    -0.422099863032
-0.1  1.2  -1.1  0.45204228637   0.355465402264  0.192492311366  1.0  1.3  0.615015377268  0.710930804528  60.0    193.408432513  -0.0829084211492  -0.422133844303
-0.1  1.2  -1.1  0.453145225905  0.357545043788  0.189309730306  1.0  1.3  0.621380539387  0.715090087577  70.0    165.778656439  -0.0814685313751  -0.432466184612
-0.1  1.2  -1.1  0.453953564669  0.362708926627  0.183337508704  1.0  1.3  0.633324982592  0.725417853253  80.0    145.056324384  -0.0617734954859  -0.438141687307
-0.1  1.2  -1.1  0.454538163075  0.36360542244   0.181856414485  1.0  1.3  0.636287171029  0.727210844879  90.0    128.938955008  -0.0590231534808  -0.440684422853
-0.1  1.2  -1.1  0.456850890721  0.361633047957  0.181516061322  1.0  1.3  0.636967877357  0.723266095915  100.0   116.045059507  -0.0650688968093  -0.442282698855
-0.1  1.2  -1.1  0.455252346763  0.360995304242  0.183752348995  1.0  1.3  0.63249530201   0.721990608485  110.0   105.495508643  -0.0713497016704  -0.442432794711
-0.1  1.2  -1.1  0.454890372804  0.360896267051  0.184213360145  1.0  1.3  0.63157327971   0.721792534102  120.0   96.7042162563  -0.0725486294988  -0.442452203542
-0.1  1.2  -1.1  0.454592842764  0.360804064821  0.184603092415  1.0  1.3  0.630793815169  0.721608129642  130.0   89.2654303904  -0.0736188115552  -0.442503195259
-0.1  1.2  -1.1  0.46117225999   0.351319510159  0.187508229851  1.0  1.3  0.624983540298  0.702639020319  140.0   82.8893282196  -0.114297971885   -0.452712238597
-0.1  1.2  -1.1  0.4630694499    0.348581899014  0.188348651086  1.0  1.3  0.623302697829  0.697163798029  150.0   77.363373005   -0.126886014731   -0.456501649998
-0.1  1.2  -1.1  0.46432261909   0.3494166012    0.18626077971   1.0  1.3  0.62747844058   0.6988332024    160.0   72.5281621922  -0.123407132753   -0.459368736452
-0.1  1.2  -1.1  0.46302048926   0.349743144953  0.187236365787  1.0  1.3  0.625527268426  0.699486289905  170.0   68.2617997103  -0.125731980658   -0.460591425961
-0.1  1.2  -1.1  0.463431005392  0.348437806876  0.188131187732  1.0  1.3  0.623737624536  0.696875613752  180.0   64.4694775042  -0.132981170608   -0.46265709302
-0.1  1.2  -1.1  0.464386365564  0.348131907495  0.187481726941  1.0  1.3  0.625036546118  0.696263814991  190.0   61.0763471092  -0.132678794989   -0.462858300595
-0.1  1.2  -1.1  0.464225674234  0.348746496036  0.18702782973   1.0  1.3  0.625944340541  0.697492992073  200.0   58.0225297537  -0.130114624059   -0.462799854294
-0.1  1.2  -1.1  0.462957440232  0.350153521595  0.186889038173  1.0  1.3  0.626221923654  0.70030704319   210.0   55.2595521464  -0.126148093155   -0.462769172956
-0.1  1.2  -1.1  0.464501583479  0.348102893783  0.187395522738  1.0  1.3  0.625208954524  0.696205787566  220.0   52.7477543216  -0.132523916115   -0.462800394475
-0.1  1.2  -1.1  0.462945723156  0.349502665914  0.187551610931  1.0  1.3  0.624896778139  0.699005331828  230.0   50.4543736989  -0.129148886388   -0.462752595902
-0.1  1.2  -1.1  0.463553058268  0.348601427475  0.187845514257  1.0  1.3  0.624308971486  0.697202854949  240.0   48.3521081281  -0.132086413238   -0.462759096158
-0.1  1.2  -1.1  0.464040851307  0.348389962148  0.187569186545  1.0  1.3  0.62486162691   0.696779924297  250.0   46.418023803   -0.13207028715    -0.462745815646
-0.1  1.2  -1.1  0.463992169645  0.348500855905  0.18750697445   1.0  1.3  0.6249860511    0.697001711809  260.0   44.6327151952  -0.131629033331   -0.462717309783
-0.1  1.2  -1.1  0.464066796261  0.34812842027   0.187804783468  1.0  1.3  0.624390433063  0.696256840541  270.0   42.9796516694  -0.133192077438   -0.462716403204
-0.1  1.2  -1.1  0.46382673569   0.34829190138   0.18788136293   1.0  1.3  0.624237274139  0.69658380276   280.0   41.4446641098  -0.132892437281   -0.462688655009
-0.1  1.2  -1.1  0.464343821418  0.348562231065  0.187093947516  1.0  1.3  0.625812104967  0.69712446213   290.0   40.0155377612  -0.130717435648   -0.462791341385
-0.1  1.2  -1.1  0.467895908843  0.348676751535  0.183427339621  1.0  1.3  0.633145320758  0.697353503071  300.0   38.6816865025  -0.123487005242   -0.463191879992
-0.1  1.2  -1.1  0.468185209033  0.348173475218  0.18364131575   1.0  1.3  0.632717368501  0.696346950436  310.0   37.4338901637  -0.129130286506   -0.467098690573
-0.1  1.2  -1.1  0.47885095656   0.344923241992  0.176225801448  1.0  1.3  0.647548397104  0.689846483984  320.0   36.2640810961  -0.14346931391    -0.487818140194
-0.1  1.2  -1.1  0.478487448222  0.3472707024    0.174241849379  1.0  1.3  0.651516301243  0.694541404799  330.0   35.1651695477  -0.135179248469   -0.489599375951
-0.1  1.2  -1.1  0.478552868563  0.347270004955  0.174177126482  1.0  1.3  0.651645747036  0.694540009909  340.0   34.1308998551  -0.135024647748   -0.489572407666
-0.1  1.2  -1.1  0.478642420502  0.347265541307  0.174092038191  1.0  1.3  0.651815923618  0.694531082613  350.0   33.1557312879  -0.134830162077   -0.489536493092
-0.1  1.2  -1.1  0.478586345924  0.347275584515  0.174138069561  1.0  1.3  0.651723860877  0.694551169029  360.0   32.2347387521  -0.134889567961   -0.489529948576
-0.1  1.2  -1.1  0.478665017721  0.347220207381  0.174114774898  1.0  1.3  0.651770450204  0.694440414762  370.0   31.3635295966  -0.134955502989   -0.489498492383
-0.1  1.2  -1.1  0.478743829007  0.34717292061   0.174083250384  1.0  1.3  0.651833499232  0.694345841219  380.0   30.5381735546  -0.1349741356     -0.489457228417
-0.1  1.2  -1.1  0.478769773961  0.347188822356  0.174041403683  1.0  1.3  0.651917192633  0.694377644711  390.0   29.7551434635  -0.134829030723   -0.489437161481
-0.1  1.2  -1.1  0.478766426225  0.347178918637  0.174054655139  1.0  1.3  0.651890689723  0.694357837273  400.0   29.0112648769  -0.134849875553   -0.489405753732
-0.1  1.2  -1.1  0.47878804702   0.347166364626  0.174045588353  1.0  1.3  0.651908823293  0.694332729253  410.0   28.3036730506  -0.134836945622   -0.489378316944
-0.1  1.2  -1.1  0.478893221727  0.347159390176  0.173947388096  1.0  1.3  0.652105223807  0.694318780353  420.0   27.6297760732  -0.134628800225   -0.489348438491
-0.1  1.2  -1.1  0.478975799216  0.347147812589  0.173876388195  1.0  1.3  0.652247223611  0.694295625179  430.0   26.9872231413  -0.134477816248   -0.489309352591
-0.1  1.2  -1.1  0.479048612475  0.347113637784  0.173837749741  1.0  1.3  0.652324500518  0.694227275568  440.0   26.3738771608  -0.13443893498    -0.489258893736
-0.1  1.2  -1.1  0.479003418038  0.347030920806  0.173965661156  1.0  1.3  0.652068677689  0.694061841612  450.0   25.7877910017  -0.134858293826   -0.489207365611
-0.1  1.2  -1.1  0.479181266515  0.347086716407  0.173732017078  1.0  1.3  0.652535965844  0.694173432813  460.0   25.2271868495  -0.134220008008   -0.489181436509
-0.1  1.2  -1.1  0.479189914834  0.347063700721  0.173746384445  1.0  1.3  0.65250723111   0.694127401443  470.0   24.6904381931  -0.134264642762   -0.489137495747
-0.1  1.2  -1.1  0.479202608333  0.347031060295  0.173766331372  1.0  1.3  0.652467337255  0.69406212059   480.0   24.1760540641  -0.134360270345   -0.489108364368
-0.1  1.2  -1.1  0.479281140641  0.3470652351    0.173653624259  1.0  1.3  0.652692751482  0.694130470201  490.0   23.6826652056  -0.133997384675   -0.489059747418
-0.1  1.2  -1.1  0.479263983493  0.346962850173  0.173773166333  1.0  1.3  0.652453667333  0.693925700346  500.0   23.2090119015  -0.134435464354   -0.488992542137
-0.1  1.2  -1.1  0.479355767256  0.347019343219  0.173624889525  1.0  1.3  0.652750220951  0.694038686438  510.0   22.7539332368  -0.133966273024   -0.488966786344
-0.1  1.2  -1.1  0.479403193517  0.34695908397   0.173637722513  1.0  1.3  0.652724554974  0.69391816794   520.0   22.3163575976  -0.13408656106    -0.488904734356
-0.1  1.2  -1.1  0.479438484234  0.346932999527  0.173628516239  1.0  1.3  0.652742967522  0.693865999054  530.0   21.8952942467  -0.134066908756   -0.488835675048
-0.1  1.2  -1.1  0.47955928171   0.346927977923  0.173512740367  1.0  1.3  0.652974519265  0.693855955846  540.0   21.4898258347  -0.1337993179     -0.488786579765
-0.1  1.2  -1.1  0.479520922234  0.346927838434  0.173551239332  1.0  1.3  0.652897521336  0.693855676868  550.0   21.0991017286  -0.133810264865   -0.488720166129
-0.1  1.2  -1.1  0.479632094969  0.34690328837   0.173464616662  1.0  1.3  0.653070766676  0.693806576739  560.0   20.7223320549  -0.133665391714   -0.488684708151
-0.1  1.2  -1.1  0.479564163825  0.346891571293  0.173544264882  1.0  1.3  0.652911470236  0.693783142587  570.0   20.3587823697  -0.133809225957   -0.488638781557
-0.1  1.2  -1.1  0.479633768837  0.346867997652  0.173498233511  1.0  1.3  0.653003532977  0.693735995304  580.0   20.0077688806  -0.133667737911   -0.488528064784
-0.1  1.2  -1.1  0.479681474075  0.346817781612  0.173500744313  1.0  1.3  0.652998511373  0.693635563223  590.0   19.6686541538  -0.133783217318   -0.488507960881
-0.1  1.2  -1.1  0.479884849039  0.346792952569  0.173322198391  1.0  1.3  0.653355603217  0.693585905139  600.0   19.3408432512  -0.133408825149   -0.488426105047
-0.1  1.2  -1.1  0.479816917896  0.346808017381  0.173375064723  1.0  1.3  0.653249870554  0.693616034763  610.0   19.0237802471  -0.133389881196   -0.488340596942
-0.1  1.2  -1.1  0.479754705801  0.344823786334  0.175421507865  1.0  1.3  0.64915698427   0.689647572668  620.0   18.7169450819  -0.142197759007   -0.487896587746
-0.1  1.2  -1.1  0.479656645033  0.34335747795   0.176985877018  1.0  1.3  0.646028245965  0.686714955899  630.0   18.4198507155  -0.14914420287    -0.487901891504
-0.1  1.2  -1.1  0.479733503473  0.343344226494  0.176922270033  1.0  1.3  0.646155459934  0.686688452989  640.0   18.132040548   -0.149046811496   -0.487897260316
-0.1  1.2  -1.1  0.479536684492  0.343438660548  0.17702465496   1.0  1.3  0.64595069008   0.686877321097  650.0   17.8530860781  -0.148823961187   -0.487715168693
-0.1  1.2  -1.1  0.479570580319  0.343600188812  0.176829230869  1.0  1.3  0.646341538262  0.687200377625  660.0   17.5825847739  -0.147897842924   -0.487599872099
-0.1  1.2  -1.1  0.479718857128  0.34370522403   0.176575918842  1.0  1.3  0.646848162316  0.687410448061  670.0   17.3201581354  -0.147016889294   -0.487498634089
-0.1  1.2  -1.1  0.479552725727  0.343513287164  0.176933987109  1.0  1.3  0.646132025782  0.687026574329  680.0   17.0654499276  -0.14817729045    -0.487443862859
-0.1  1.2  -1.1  0.479526501794  0.343681092433  0.176792405772  1.0  1.3  0.646415188455  0.687362184866  690.0   16.8181245663  -0.147323318441   -0.487309347222
-0.1  1.2  -1.1  0.479537521426  0.343664074775  0.176798403799  1.0  1.3  0.646403192401  0.68732814955   700.0   16.5778656439  -0.147258058955   -0.487187845771
-0.1  1.2  -1.1  0.479706024139  0.343682766301  0.176611209559  1.0  1.3  0.646777580881  0.687365532602  710.0   16.3443745785  -0.146867080199   -0.487219853463
-0.1  1.2  -1.1  0.479639906353  0.343358733351  0.177001360297  1.0  1.3  0.645997279407  0.686717466701  720.0   16.117369376   -0.148423161662   -0.48715314778
