#mu0  mu1  mu2   x0              x1                 x2              mua  mub  xa              xb                 T       b              u                phi
0.2   0.7  -0.9  0.637061195499  0.0                0.362938804501  1.1  0.5  0.274122390998  0.0                30.0    386.816865025  -1.04486546497   -0.646400095067
0.2   0.7  -0.9  0.637115317231  0.0                0.362884682769  1.1  0.5  0.274230634463  0.0                40.0    290.112648769  -1.04482338702   -0.646477084934
0.2   0.7  -0.9  0.637122710149  0.0                0.362877289851  1.1  0.5  0.274245420297  0.0                50.0    232.090119015  -1.04480010139   -0.646470063715
0.2   0.7  -0.9  0.637913612787  0.0                0.362086387213  1.1  0.5  0.275827225575  0.0                60.0    193.408432513  -1.04376389633   -0.647173844464
0.2   0.7  -0.9  0.638285350977  0.0                0.361714649023  1.1  0.5  0.276570701953  0.0                70.0    165.778656439  -1.04343225626   -0.647660028406
0.2   0.7  -0.9  0.637951135329  0.0                0.362048864671  1.1  0.5  0.275902270658  0.0                80.0    145.056324384  -1.04488838876   -0.648380886481
0.2   0.7  -0.9  0.638277818571  0.0                0.361722181429  1.1  0.5  0.276555637141  0.0                90.0    128.938955008  -1.04442981959   -0.648641020447
0.2   0.7  -0.9  0.638509928269  0.0                0.361490071731  1.1  0.5  0.277019856538  0.0                100.0   116.045059507  -1.04433001334   -0.649051855528
0.2   0.7  -0.9  0.643390927412  0.0                0.356609072588  1.1  0.5  0.286781854824  0.0                110.0   105.495508643  -1.03588422319   -0.651344263498
0.2   0.7  -0.9  0.645626378151  0.0                0.354373621849  1.1  0.5  0.291252756303  0.0                120.0   96.7042162563  -1.03163512305   -0.652013154983
0.2   0.7  -0.9  0.648289083702  0.0                0.351710916298  1.1  0.5  0.296578167405  0.0                130.0   89.2654303904  -1.02595621445   -0.652192198591
0.2   0.7  -0.9  0.650598463612  0.0                0.349401536388  1.1  0.5  0.301196927225  0.0                140.0   82.8893282196  -1.02104730272   -0.652363922668
0.2   0.7  -0.9  0.652944668619  0.0                0.347055331381  1.1  0.5  0.305889337238  0.0                150.0   77.363373005   -1.01612451237   -0.652602783333
0.2   0.7  -0.9  0.654315845504  0.0                0.345684154496  1.1  0.5  0.308631691008  0.0                160.0   72.5281621922  -1.01309460472   -0.652589464832
0.2   0.7  -0.9  0.655869474004  0.0                0.344130525996  1.1  0.5  0.311738948007  0.0                170.0   68.2617997103  -1.00965504187   -0.652567884678
0.2   0.7  -0.9  0.656254603137  0.0                0.343745396863  1.1  0.5  0.312509206274  0.0                180.0   64.4694775042  -1.00892442551   -0.65268455241
0.2   0.7  -0.9  0.657792469379  0.0                0.342207530621  1.1  0.5  0.315584938759  0.0                190.0   61.0763471092  -1.00593369623   -0.65307712886
0.2   0.7  -0.9  0.661805288977  0.0                0.338194711023  1.1  0.5  0.323610577953  0.0                200.0   58.0225297537  -0.997724504519  -0.653696140268
0.2   0.7  -0.9  0.66099164963   0.0                0.33900835037   1.1  0.5  0.321983299261  0.0                210.0   55.2595521464  -0.999491350509  -0.653672979696
0.2   0.7  -0.9  0.661517523166  0.0                0.338482476834  1.1  0.5  0.323035046333  0.0                220.0   52.7477543216  -0.998269057547  -0.653607608513
0.2   0.7  -0.9  0.66008497112   0.0                0.33991502888   1.1  0.5  0.32016994224   0.0                230.0   50.4543736989  -1.00131149265   -0.653498429112
0.2   0.7  -0.9  0.659494793155  0.0                0.340505206845  1.1  0.5  0.318989586309  0.0                240.0   48.3521081281  -1.0024270801    -0.653315625036
0.2   0.7  -0.9  0.658749503419  0.0                0.341250496581  1.1  0.5  0.317499006838  0.0                250.0   46.418023803   -1.0040016809    -0.653250588422
0.2   0.7  -0.9  0.659487121259  0.0                0.340512878741  1.1  0.5  0.318974242519  0.0                260.0   44.6327151952  -1.00241295314   -0.65328461991
0.2   0.7  -0.9  0.658353912611  0.0                0.341646087389  1.1  0.5  0.316707825221  0.0                270.0   42.9796516694  -1.004726489     -0.653105096741
0.2   0.7  -0.9  0.657333690053  0.0                0.342666309947  1.1  0.5  0.314667380106  0.0                280.0   41.4446641098  -1.0068470116    -0.652981129719
0.2   0.7  -0.9  0.656663305912  0.0                0.343336694088  1.1  0.5  0.313326611823  0.0                290.0   40.0155377612  -1.00817787676   -0.652837149768
0.2   0.7  -0.9  0.656373029299  0.0                0.343626970701  1.1  0.5  0.312746058599  0.0                300.0   38.6816865025  -1.00873770262   -0.652758367083
0.2   0.7  -0.9  0.654621465907  2.7897800293e-07   0.345378255115  1.1  0.5  0.309243489769  5.57956005859e-07  310.0   37.4338901637  -1.01230398213   -0.652472099852
0.2   0.7  -0.9  0.654065323257  4.18467004883e-07  0.345934258276  1.1  0.5  0.308131483449  8.36934009766e-07  320.0   36.2640810961  -1.01326626505   -0.652211315312
0.2   0.7  -0.9  0.651832243831  1.39489001953e-07  0.34816761668   1.1  0.5  0.30366476664   2.78978003906e-07  330.0   35.1651695477  -1.01774162866   -0.651773011449
0.2   0.7  -0.9  0.65181145997   0.0                0.34818854003   1.1  0.5  0.30362291994   0.0                340.0   34.1308998551  -1.01775905048   -0.651744262416
0.2   0.7  -0.9  0.650588699382  6.97445007813e-07  0.349410603173  1.1  0.5  0.301178793654  1.39489001563e-06  350.0   33.1557312879  -1.01988314077   -0.651180511235
0.2   0.7  -0.9  0.650297306858  5.57956005859e-07  0.349702135186  1.1  0.5  0.300595729628  1.11591201172e-06  360.0   32.2347387521  -1.02039035054   -0.651046211083
0.2   0.7  -0.9  0.648903672243  9.76423010742e-07  0.351095351334  1.1  0.5  0.297809297333  1.95284602148e-06  370.0   31.3635295966  -1.02342892182   -0.651020125305
0.2   0.7  -0.9  0.648719267783  1.95284602246e-06  0.351278779371  1.1  0.5  0.297442441258  3.90569204492e-06  380.0   30.5381735546  -1.02300924666   -0.650197884892
0.2   0.7  -0.9  0.646153367599  8.36934009766e-07  0.353845795467  1.1  0.5  0.292308409067  1.67386801953e-06  390.0   29.7551434635  -1.02846783423   -0.650007921139
0.2   0.7  -0.9  0.646216974584  2.23182402539e-06  0.353780793592  1.1  0.5  0.292438412816  4.46364805078e-06  400.0   29.0112648769  -1.02807204973   -0.649756535655
0.2   0.7  -0.9  0.645863788432  3.20824703613e-06  0.354133003321  1.1  0.5  0.291733993358  6.41649407227e-06  410.0   28.3036730506  -1.02841741508   -0.64932801602
0.2   0.7  -0.9  0.64473099825   2.78978003125e-06  0.35526621197   1.1  0.5  0.289467576061  5.5795600625e-06   420.0   27.6297760732  -1.03079410679   -0.649211230236
0.2   0.7  -0.9  0.643350475602  4.74262605371e-06  0.356644781772  1.1  0.5  0.286710436456  9.48525210742e-06  430.0   26.9872231413  -1.03347894614   -0.648865168866
0.2   0.7  -0.9  0.643502797591  9.20627410352e-06  0.356487996134  1.1  0.5  0.287024007731  1.8412548207e-05   440.0   26.3738771608  -1.03289886488   -0.648634479658
0.2   0.7  -0.9  0.641925874429  8.36934009473e-06  0.358065756231  1.1  0.5  0.283868487537  1.67386801895e-05  450.0   25.7877910017  -1.03616453055   -0.648428236185
0.2   0.7  -0.9  0.640816657888  1.68781691904e-05  0.359166463943  1.1  0.5  0.281667072115  3.37563383809e-05  460.0   25.2271868495  -1.03814691098   -0.647997568476
0.2   0.7  -0.9  0.641359688571  1.50648121699e-05  0.358625246617  1.1  0.5  0.282749506767  3.01296243398e-05  470.0   24.6904381931  -1.03686943927   -0.647908961526
0.2   0.7  -0.9  0.640651363421  1.39489001572e-05  0.359334687679  1.1  0.5  0.281330624643  2.78978003145e-05  480.0   24.1760540641  -1.03825275126   -0.647730387265
