#mu0  mu1  mu2   x0              x1              x2                 mua  mub  xa              xb              T       b              u               phi
-0.1  1.4  -1.3  0.499973218112  0.499762729208  0.000264052679975  1.2  1.5  0.99947189464   0.999525458417  30.0    386.816865025  0.70358594779   -0.595068513403
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             40.0    290.112648769  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             50.0    232.090119015  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             60.0    193.408432513  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             70.0    165.778656439  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             80.0    145.056324384  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             90.0    128.938955008  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             100.0   116.045059507  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             110.0   105.495508643  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             120.0   96.7042162563  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             130.0   89.2654303904  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             140.0   82.8893282196  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             150.0   77.363373005   0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             160.0   72.5281621922  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             170.0   68.2617997103  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             180.0   64.4694775042  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             190.0   61.0763471092  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             200.0   58.0225297537  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             210.0   55.2595521464  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             220.0   52.7477543216  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             230.0   50.4543736989  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             240.0   48.3521081281  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             250.0   46.418023803   0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             260.0   44.6327151952  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             270.0   42.9796516694  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             280.0   41.4446641098  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             290.0   40.0155377612  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             300.0   38.6816865025  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             310.0   37.4338901637  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             320.0   36.2640810961  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             330.0   35.1651695477  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             340.0   34.1308998551  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             350.0   33.1557312879  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             360.0   32.2347387521  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             370.0   31.3635295966  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             380.0   30.5381735546  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             390.0   29.7551434635  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             400.0   29.0112648769  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             410.0   28.3036730506  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             420.0   27.6297760732  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             430.0   26.9872231413  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             440.0   26.3738771608  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             450.0   25.7877910017  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             460.0   25.2271868495  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             470.0   24.6904381931  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             480.0   24.1760540641  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             490.0   23.6826652056  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             500.0   23.2090119015  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.500000418467  0.499999581533  0.0                1.2  1.5  1.0             0.999999163066  510.0   22.7539332368  0.704624559987  -0.595374184612
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             520.0   22.3163575976  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             530.0   21.8952942467  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             540.0   21.4898258347  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.500000278978  0.499999721022  0.0                1.2  1.5  1.0             0.999999442044  550.0   21.0991017286  0.704624772325  -0.595374390741
-0.1  1.4  -1.3  0.500000139489  0.499999860511  0.0                1.2  1.5  1.0             0.999999721022  560.0   20.7223320549  0.704624984663  -0.595374596871
-0.1  1.4  -1.3  0.500000278978  0.499999721022  0.0                1.2  1.5  1.0             0.999999442044  570.0   20.3587823697  0.704624772325  -0.595374390741
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             580.0   20.0077688806  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.500000139489  0.499999860511  0.0                1.2  1.5  1.0             0.999999721022  590.0   19.6686541538  0.704624984663  -0.595374596871
-0.1  1.4  -1.3  0.500000139489  0.499999860511  0.0                1.2  1.5  1.0             0.999999721022  600.0   19.3408432512  0.704624984663  -0.595374596871
-0.1  1.4  -1.3  0.5             0.5             0.0                1.2  1.5  1.0             1.0             610.0   19.0237802471  0.704625197     -0.595374803
-0.1  1.4  -1.3  0.500000697445  0.499999302555  0.0                1.2  1.5  1.0             0.99999860511   620.0   18.7169450819  0.704624135312  -0.595373772353
-0.1  1.4  -1.3  0.500000976423  0.499999023577  0.0                1.2  1.5  1.0             0.999998047154  630.0   18.4198507155  0.704623710637  -0.595373360094
-0.1  1.4  -1.3  0.500001115912  0.499998884088  0.0                1.2  1.5  1.0             0.999997768176  640.0   18.132040548   0.7046234983    -0.595373153964
-0.1  1.4  -1.3  0.500000697445  0.499999302555  0.0                1.2  1.5  1.0             0.99999860511   650.0   17.8530860781  0.704624135312  -0.595373772353
-0.1  1.4  -1.3  0.500000976423  0.499999023577  0.0                1.2  1.5  1.0             0.999998047154  660.0   17.5825847739  0.704623710637  -0.595373360094
-0.1  1.4  -1.3  0.500001534379  0.499998465621  0.0                1.2  1.5  1.0             0.999996931242  670.0   17.3201581354  0.704622861287  -0.595372535576
-0.1  1.4  -1.3  0.500000976423  0.499998744599  2.7897800293e-07   1.2  1.5  0.999999442044  0.999997489198  680.0   17.0654499276  0.704623104147  -0.595372460102
-0.1  1.4  -1.3  0.500002650291  0.499997070731  2.7897800293e-07   1.2  1.5  0.999999442044  0.999994141462  690.0   16.8181245663  0.704620556097  -0.595369986549
-0.1  1.4  -1.3  0.500001115912  0.499998465621  4.18467004883e-07  1.2  1.5  0.999999163066  0.999996931242  700.0   16.5778656439  0.704622588565  -0.595371803977
-0.1  1.4  -1.3  0.500003626714  0.499996373286  0.0                1.2  1.5  1.0             0.999992746572  710.0   16.3443745785  0.704619676224  -0.595369443633
-0.1  1.4  -1.3  0.500005719049  0.499994141462  1.39489001953e-07  1.2  1.5  0.999999721022  0.999988282924  720.0   16.117369376   0.704615847104  -0.595366242509
-0.1  1.4  -1.3  0.500000976423  0.499997768176  1.25540101367e-06  1.2  1.5  0.999997489198  0.999995536352  730.0   15.8965834942  0.704620980549  -0.595369311017
-0.1  1.4  -1.3  0.500005440071  0.499994559929  0.0                1.2  1.5  1.0             0.999989119858  740.0   15.6817647983  0.704616915837  -0.59536676395
