#mu0  mu1  mu2   x0              x1                 x2              mua   mub  xa                  xb                 T       b              u               phi
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                30.0    386.816865025  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                40.0    290.112648769  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                50.0    232.090119015  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                60.0    193.408432513  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                70.0    165.778656439  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                80.0    145.056324384  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                90.0    128.938955008  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                100.0   116.045059507  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                110.0   105.495508643  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                120.0   96.7042162563  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                130.0   89.2654303904  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                140.0   82.8893282196  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                150.0   77.363373005   -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                160.0   72.5281621922  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                170.0   68.2617997103  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                180.0   64.4694775042  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.5             0.0                0.5             -0.1  0.8  0.0                 0.0                190.0   61.0763471092  -1.31774118     -0.81774118
-0.3  0.5  -0.2  0.499999721022  2.7897800293e-07   0.5             -0.1  0.8  8.59441979932e-18   5.57956005859e-07  200.0   58.0225297537  -1.317740589    -0.817741035364
-0.3  0.5  -0.2  0.499999721022  2.7897800293e-07   0.5             -0.1  0.8  8.59441979932e-18   5.57956005859e-07  210.0   55.2595521464  -1.317740589    -0.817741035364
-0.3  0.5  -0.2  0.499999721022  2.7897800293e-07   0.5             -0.1  0.8  8.59441979932e-18   5.57956005859e-07  220.0   52.7477543216  -1.317740589    -0.817741035364
-0.3  0.5  -0.2  0.499999023577  9.76423010742e-07  0.5             -0.1  0.8  7.42725074965e-17   1.95284602148e-06  230.0   50.4543736989  -1.3177391115   -0.817740673775
-0.3  0.5  -0.2  0.499997349709  2.65029103027e-06  0.5             -0.1  0.8  8.05625741628e-17   5.30058206055e-06  240.0   48.3521081281  -1.31773556549  -0.817739805961
-0.3  0.5  -0.2  0.499998465621  1.53437901758e-06  0.5             -0.1  0.8  -4.21991814322e-17  3.06875803516e-06  250.0   46.418023803   -1.3177379295   -0.817740384503
-0.3  0.5  -0.2  0.499996512775  3.48722503906e-06  0.5             -0.1  0.8  -4.67646890179e-18  6.97445007813e-06  260.0   44.6327151952  -1.31773379249  -0.817739372053
-0.3  0.5  -0.2  0.499992328105  7.67189508594e-06  0.5             -0.1  0.8  -1.05389872176e-15  1.53437901719e-05  270.0   42.9796516694  -1.31772492749  -0.817737202517
-0.3  0.5  -0.2  0.499991072704  8.92729610059e-06  0.5             -0.1  0.8  5.53112514557e-18   1.78545922012e-05  280.0   41.4446641098  -1.31772226798  -0.817736551656
-0.3  0.5  -0.2  0.499985214166  1.4785834167e-05   0.5             -0.1  0.8  -3.81994918553e-17  2.9571668334e-05   290.0   40.0155377612  -1.31770985697  -0.817733514306
-0.3  0.5  -0.2  0.499971404755  2.85952453223e-05  0.5             -0.1  0.8  -1.70118097127e-17  5.71904906445e-05  300.0   38.6816865025  -1.31768060477  -0.817726357158
-0.3  0.5  -0.2  0.499967778041  3.22219593633e-05  0.5             -0.1  0.8  2.68001224511e-17   6.44439187266e-05  310.0   37.4338901637  -1.31767293851  -0.817724493646
-0.3  0.5  -0.2  0.49996094308   3.90569204395e-05  0.5             -0.1  0.8  7.99802390115e-17   7.81138408789e-05  320.0   36.2640810961  -1.31765845431  -0.817720945381
-0.3  0.5  -0.2  0.49994824958   5.1750419583e-05   0.5             -0.1  0.8  6.67936300887e-17   0.000103500839166  330.0   35.1651695477  -1.31763158418  -0.817714384847
-0.3  0.5  -0.2  0.499929279076  7.07209237969e-05  0.5             -0.1  0.8  -2.14265454337e-17  0.000141441847594  340.0   34.1308998551  -1.31759136998  -0.817704523462
-0.3  0.5  -0.2  0.499912261418  8.77385819883e-05  0.5             -0.1  0.8  -1.35118695746e-17  0.000175477163977  350.0   33.1557312879  -1.31755535873  -0.817695740459
-0.3  0.5  -0.2  0.499880457926  0.000119542074347  0.5             -0.1  0.8  -4.37882152413e-17  0.000239084148693  360.0   32.2347387521  -1.31748799131  -0.81767925863
-0.3  0.5  -0.2  0.499865672091  0.000134327908513  0.5             -0.1  0.8  5.16622335189e-17   0.000268655817025  370.0   31.3635295966  -1.3174567141   -0.817671638749
