#mu0  mu1  mu2   x0              x1              x2              mua   mub  xa                  xb              T       b              u               phi
-0.4  0.7  -0.3  0.374327244545  0.125672755455  0.5             -0.1  1.1  0.0                 0.251345510909  30.0    386.816865025  -1.07764643076  -0.654126492762
-0.4  0.7  -0.3  0.373734834756  0.126265165244  0.5             -0.1  1.1  -5.55111512313e-17  0.252530330489  40.0    290.112648769  -1.07659479647  -0.654378160004
-0.4  0.7  -0.3  0.373768591094  0.126231408906  0.5             -0.1  1.1  8.32667268469e-17   0.252462817812  50.0    232.090119015  -1.07696075201  -0.654669851605
-0.4  0.7  -0.3  0.372795097352  0.127204902648  0.5             -0.1  1.1  2.77555756156e-17   0.254409805296  60.0    193.408432513  -1.07496892275  -0.65481970858
-0.4  0.7  -0.3  0.372749484449  0.127250515551  0.5             -0.1  1.1  2.77555756156e-17   0.254501031103  70.0    165.778656439  -1.07487831319  -0.654829447401
-0.4  0.7  -0.3  0.372779335095  0.127220664905  0.5             -0.1  1.1  5.55111512313e-17   0.25444132981   80.0    145.056324384  -1.07499811493  -0.654883577718
-0.4  0.7  -0.3  0.372699965853  0.127300034147  0.5             -0.1  1.1  -5.55111512313e-17  0.254600068294  90.0    128.938955008  -1.07497423278  -0.655034307905
-0.4  0.7  -0.3  0.371760786406  0.128239213594  0.5             -0.1  1.1  2.77555756156e-17   0.256478427189  100.0   116.045059507  -1.07524697932  -0.657373249224
-0.4  0.7  -0.3  0.369088456113  0.130911543887  0.5             -0.1  1.1  0.0                 0.261823087773  110.0   105.495508643  -1.07040725631  -0.658412652862
-0.4  0.7  -0.3  0.367650324507  0.132349675493  0.5             -0.1  1.1  2.77555756156e-17   0.264699350986  120.0   96.7042162563  -1.06744041717  -0.658609703259
-0.4  0.7  -0.3  0.368032663861  0.131967336139  0.5             -0.1  1.1  5.55111512313e-17   0.263934672279  130.0   89.2654303904  -1.06848295476  -0.658811094267
-0.4  0.7  -0.3  0.368134072365  0.131865927635  0.5             -0.1  1.1  0.0                 0.263731855271  140.0   82.8893282196  -1.06877931282  -0.658884353615
-0.4  0.7  -0.3  0.368223763793  0.131776236207  0.5             -0.1  1.1  0.0                 0.263552472415  150.0   77.363373005   -1.0690182626   -0.658925982254
-0.4  0.7  -0.3  0.372160701373  0.127839298627  0.5             -0.1  1.1  5.55111512313e-17   0.255678597254  160.0   72.5281621922  -1.08037166111  -0.661618118087
-0.4  0.7  -0.3  0.375003208247  0.124996791753  0.5             -0.1  1.1  1.38777878078e-17   0.249993583506  170.0   68.2617997103  -1.09059453336  -0.665587475215
-0.4  0.7  -0.3  0.375014506856  0.124985493144  0.5             -0.1  1.1  2.77555756156e-17   0.249970986288  180.0   64.4694775042  -1.09378488528  -0.668752970196
-0.4  0.7  -0.3  0.375           0.125           0.5             -0.1  1.1  0.0                 0.25            190.0   61.0763471092  -1.09512185823  -0.670121858229
-0.4  0.7  -0.3  0.375           0.125           0.5             -0.1  1.1  0.0                 0.25            200.0   58.0225297537  -1.09512185823  -0.670121858229
-0.4  0.7  -0.3  0.375           0.125           0.5             -0.1  1.1  0.0                 0.25            210.0   55.2595521464  -1.09512185823  -0.670121858229
-0.4  0.7  -0.3  0.375           0.125           0.5             -0.1  1.1  0.0                 0.25            220.0   52.7477543216  -1.09512185823  -0.670121858229
-0.4  0.7  -0.3  0.375           0.125           0.5             -0.1  1.1  0.0                 0.25            230.0   50.4543736989  -1.09512185823  -0.670121858229
-0.4  0.7  -0.3  0.375           0.125           0.5             -0.1  1.1  0.0                 0.25            240.0   48.3521081281  -1.09512185823  -0.670121858229
-0.4  0.7  -0.3  0.375000139489  0.124999860511  0.5             -0.1  1.1  -4.16333634234e-17  0.249999721022  250.0   46.418023803   -1.09512209213  -0.670121785255
-0.4  0.7  -0.3  0.375           0.125           0.5             -0.1  1.1  0.0                 0.25            260.0   44.6327151952  -1.09512185823  -0.670121858229
-0.4  0.7  -0.3  0.375000278978  0.124999721022  0.5             -0.1  1.1  -1.38777878078e-17  0.249999442044  270.0   42.9796516694  -1.09512230769  -0.670121693942
