#mu0  mu1  mu2   x0              x1              x2              mua   mub  xa                  xb              T       b              u                phi
-0.7  0.8  -0.1  0.320050260677  0.179949739323  0.5             -0.6  1.5  0.0                 0.359899478646  30.0    386.816865025  -0.938706523507  -0.678555741475
-0.7  0.8  -0.1  0.319954571222  0.180045428778  0.5             -0.6  1.5  -5.55111512313e-17  0.360090857556  40.0    290.112648769  -0.938459178742  -0.678595465076
-0.7  0.8  -0.1  0.320410700257  0.179589299743  0.5             -0.6  1.5  -5.55111512313e-17  0.359178599486  50.0    232.090119015  -0.939949499859  -0.678717399087
-0.7  0.8  -0.1  0.320499275773  0.179500724227  0.5             -0.6  1.5  2.77555756156e-17   0.359001448454  60.0    193.408432513  -0.941200916259  -0.679703088939
-0.7  0.8  -0.1  0.320360763195  0.179639236805  0.5             -0.6  1.5  2.77555756156e-17   0.359278473611  70.0    165.778656439  -0.941237161371  -0.680154871787
-0.7  0.8  -0.1  0.320677961184  0.179322038816  0.5             -0.6  1.5  -2.77555756156e-17  0.358644077632  80.0    145.056324384  -0.942310153702  -0.680276270149
-0.7  0.8  -0.1  0.32316951373   0.17683048627   0.5             -0.6  1.5  2.77555756156e-17   0.35366097254   90.0    128.938955008  -0.951308882243  -0.681800341052
-0.7  0.8  -0.1  0.323132130678  0.176867869322  0.5             -0.6  1.5  5.55111512313e-17   0.353735738644  100.0   116.045059507  -0.951802025106  -0.682405633072
-0.7  0.8  -0.1  0.323077869456  0.176922130544  0.5             -0.6  1.5  -5.55111512313e-17  0.353844261088  110.0   105.495508643  -0.951632809448  -0.682399201079
-0.7  0.8  -0.1  0.323080380258  0.176919619742  0.5             -0.6  1.5  2.77555756156e-17   0.353839239484  120.0   96.7042162563  -0.951639137727  -0.682397996953
-0.7  0.8  -0.1  0.321857480181  0.178142519819  0.5             -0.6  1.5  2.77555756156e-17   0.356285039637  130.0   89.2654303904  -0.948532554784  -0.68296011424
-0.7  0.8  -0.1  0.319356023916  0.180643976084  0.5             -0.6  1.5  -2.77555756156e-17  0.361287952168  140.0   82.8893282196  -0.942235652052  -0.684167580303
-0.7  0.8  -0.1  0.319396894194  0.180603105806  0.5             -0.6  1.5  -8.32667268469e-17  0.361206211613  150.0   77.363373005   -0.942363972442  -0.684173289861
-0.7  0.8  -0.1  0.319374296975  0.180625703025  0.5             -0.6  1.5  -2.77555756156e-17  0.361251406049  160.0   72.5281621922  -0.942286060516  -0.68416316959
-0.7  0.8  -0.1  0.318403035057  0.181596964943  0.5             -0.6  1.5  5.55111512313e-17   0.363193929885  170.0   68.2617997103  -0.939421743972  -0.684212638799
-0.7  0.8  -0.1  0.318811179876  0.181188820124  0.5             -0.6  1.5  0.0                 0.362377640248  180.0   64.4694775042  -0.940894959988  -0.68446142036
-0.7  0.8  -0.1  0.318888317294  0.181111682706  0.5             -0.6  1.5  5.55111512313e-17   0.362223365412  190.0   61.0763471092  -0.941136536174  -0.684471584292
-0.7  0.8  -0.1  0.318955829971  0.181044170029  0.5             -0.6  1.5  -5.55111512313e-17  0.362088340059  200.0   58.0225297537  -0.941333199825  -0.684465709913
-0.7  0.8  -0.1  0.31873655326   0.18126344674   0.5             -0.6  1.5  -8.32667268469e-17  0.36252689348   210.0   55.2595521464  -0.940668581846  -0.684458922065
-0.7  0.8  -0.1  0.318994049957  0.181005950043  0.5             -0.6  1.5  0.0                 0.362011900086  220.0   52.7477543216  -0.941460666492  -0.68447851662
-0.7  0.8  -0.1  0.318436512418  0.181563487582  0.5             -0.6  1.5  5.55111512313e-17   0.363126975164  230.0   50.4543736989  -0.939851656702  -0.684542119449
-0.7  0.8  -0.1  0.319395359815  0.180604640185  0.5             -0.6  1.5  0.0                 0.361209280371  240.0   48.3521081281  -0.942846205722  -0.684660126278
