#mu0  mu1  mu2  x0              x1              x2              mua   mub  xa                  xb              T       b              u               phi
-0.6  0.5  0.1  0.377305613707  0.122694386293  0.5             -0.7  1.1  -1.38777878078e-17  0.245388772586  30.0    386.816865025  -1.0820553023   -0.851982952148
-0.6  0.5  0.1  0.376915602459  0.123084397541  0.5             -0.7  1.1  -1.38777878078e-17  0.246168795083  40.0    290.112648769  -1.08173259302  -0.852518267611
-0.6  0.5  0.1  0.376870268533  0.123129731467  0.5             -0.7  1.1  8.32667268469e-17   0.246259462934  50.0    232.090119015  -1.08163239926  -0.85251780849
-0.6  0.5  0.1  0.377090521667  0.122909478333  0.5             -0.7  1.1  2.77555756156e-17   0.245818956667  60.0    193.408432513  -1.08213912885  -0.852539981184
-0.6  0.5  0.1  0.377152454783  0.122847545217  0.5             -0.7  1.1  -1.38777878078e-17  0.245695090434  70.0    165.778656439  -1.08356313985  -0.853827739324
-0.6  0.5  0.1  0.37693638632   0.12306361368   0.5             -0.7  1.1  0.0                 0.24612722736   80.0    145.056324384  -1.0833798287   -0.854119778797
-0.6  0.5  0.1  0.376726176394  0.123273823606  0.5             -0.7  1.1  2.77555756156e-17   0.246547647211  90.0    128.938955008  -1.08312446715  -0.854326879078
-0.6  0.5  0.1  0.375987582131  0.124012417869  0.5             -0.7  1.1  1.38777878078e-17   0.248024835738  100.0   116.045059507  -1.08228778618  -0.855115105493
-0.6  0.5  0.1  0.375977399434  0.124022600566  0.5             -0.7  1.1  0.0                 0.248045201132  110.0   105.495508643  -1.08227257408  -0.85512229533
-0.6  0.5  0.1  0.374497700105  0.125502299895  0.5             -0.7  1.1  -2.77555756156e-17  0.251004599789  120.0   96.7042162563  -1.08003632254  -0.856141382309
-0.6  0.5  0.1  0.372249834845  0.127750165155  0.5             -0.7  1.1  2.77555756156e-17   0.25550033031   130.0   89.2654303904  -1.07608210732  -0.85713247066
-0.6  0.5  0.1  0.372255553894  0.127744446106  0.5             -0.7  1.1  2.77555756156e-17   0.255488892212  140.0   82.8893282196  -1.07649491045  -0.857532691887
-0.6  0.5  0.1  0.372289868188  0.127710131812  0.5             -0.7  1.1  0.0                 0.255420263623  150.0   77.363373005   -1.07672816729  -0.857690457273
-0.6  0.5  0.1  0.372334783647  0.127665216353  0.5             -0.7  1.1  9.43689570931e-16   0.255330432706  160.0   72.5281621922  -1.07682178718  -0.85768526316
-0.6  0.5  0.1  0.372533137007  0.127466862993  0.5             -0.7  1.1  2.77555756156e-17   0.254933725986  170.0   68.2617997103  -1.07763188844  -0.85805898702
-0.6  0.5  0.1  0.373003214943  0.126996785057  0.5             -0.7  1.1  -5.55111512313e-17  0.253993570115  180.0   64.4694775042  -1.07981607542  -0.859209002547
-0.6  0.5  0.1  0.373418334211  0.126581665789  0.5             -0.7  1.1  -2.77555756156e-17  0.253163331578  190.0   61.0763471092  -1.08128399673  -0.859763661467
-0.6  0.5  0.1  0.373329200739  0.126670799261  0.5             -0.7  1.1  5.55111512313e-17   0.253341598522  200.0   58.0225297537  -1.08120992302  -0.859885681397
-0.6  0.5  0.1  0.373307858922  0.126692141078  0.5             -0.7  1.1  -5.55111512313e-17  0.253384282156  210.0   55.2595521464  -1.0811311274   -0.859853837776
-0.6  0.5  0.1  0.373766917226  0.126233082774  0.5             -0.7  1.1  -2.77555756156e-17  0.252466165548  220.0   52.7477543216  -1.08371759356  -0.861430375662
