#mu0  mu1  mu2  x0              x1              x2              mua   mub  xa                  xb              T       b              u                phi
-0.7  0.5  0.2  0.36623046596   0.13376953404   0.5             -0.9  1.2  8.32667268469e-17   0.26753906808   30.0    386.816865025  -1.05713034126   -0.878177222959
-0.7  0.5  0.2  0.366195035754  0.133804964246  0.5             -0.9  1.2  0.0                 0.267609928492  40.0    290.112648769  -1.05706123664   -0.878193150835
-0.7  0.5  0.2  0.366164348173  0.133835651827  0.5             -0.9  1.2  -5.55111512313e-17  0.267671303653  50.0    232.090119015  -1.05702875574   -0.878234320128
-0.7  0.5  0.2  0.365962647077  0.134037352923  0.5             -0.9  1.2  -8.32667268469e-17  0.268074705846  60.0    193.408432513  -1.05681713395   -0.878506780967
-0.7  0.5  0.2  0.365930285629  0.134069714371  0.5             -0.9  1.2  2.77555756156e-17   0.268139428742  70.0    165.778656439  -1.05673664865   -0.878503963136
-0.7  0.5  0.2  0.365412223477  0.134587776523  0.5             -0.9  1.2  5.55111512313e-17   0.269175553046  80.0    145.056324384  -1.05593995306   -0.878950616714
-0.7  0.5  0.2  0.364944098388  0.135055901612  0.5             -0.9  1.2  -2.77555756156e-17  0.270111803225  90.0    128.938955008  -1.05501769796   -0.879151861829
-0.7  0.5  0.2  0.364873098486  0.135126901514  0.5             -0.9  1.2  8.32667268469e-17   0.270253803028  100.0   116.045059507  -1.0549981732    -0.879302736833
-0.7  0.5  0.2  0.364754393346  0.135245606654  0.5             -0.9  1.2  -8.32667268469e-17  0.270491213309  110.0   105.495508643  -1.05555940014   -0.880148856113
-0.7  0.5  0.2  0.364766110422  0.135233889578  0.5             -0.9  1.2  0.0                 0.270467779157  120.0   96.7042162563  -1.05557767311   -0.880139008098
-0.7  0.5  0.2  0.362720504214  0.137279495786  0.5             -0.9  1.2  2.77555756156e-17   0.274558991573  130.0   89.2654303904  -1.05433607426   -0.883806864145
-0.7  0.5  0.2  0.363402465942  0.136597534058  0.5             -0.9  1.2  2.77555756156e-17   0.273195068115  140.0   82.8893282196  -1.05869081797   -0.886524899704
-0.7  0.5  0.2  0.363044258186  0.136955741814  0.5             -0.9  1.2  -5.55111512313e-17  0.273911483627  150.0   77.363373005   -1.05801065697   -0.886704437323
