#mu0             mu1             mu2              x0              x1                 x2              mua  mub  xa                  xb                 T       b              u               phi
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                30.0    386.816865025  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                40.0    290.112648769  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                50.0    232.090119015  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                60.0    193.408432513  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                70.0    165.778656439  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                80.0    145.056324384  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                90.0    128.938955008  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                100.0   116.045059507  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                110.0   105.495508643  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                120.0   96.7042162563  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                130.0   89.2654303904  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                140.0   82.8893282196  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                150.0   77.363373005   -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                160.0   72.5281621922  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                170.0   68.2617997103  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                180.0   64.4694775042  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                190.0   61.0763471092  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.5             0.0                0.5             0.4  0.8  0.0                 0.0                200.0   58.0225297537  -1.31774118     -0.651074513333
-0.133333333333  0.666666666667  -0.533333333333  0.499999721022  2.7897800293e-07   0.5             0.4  0.8  8.59441979932e-18   5.57956005859e-07  210.0   55.2595521464  -1.317740589    -0.651074368698
-0.133333333333  0.666666666667  -0.533333333333  0.499999442044  5.57956005859e-07  0.5             0.4  0.8  1.71888395986e-17   1.11591201172e-06  220.0   52.7477543216  -1.317739998    -0.651074224062
-0.133333333333  0.666666666667  -0.533333333333  0.499997628687  2.37131302637e-06  0.5             0.4  0.8  -1.64159220343e-17  4.74262605273e-06  230.0   50.4543736989  -1.3177361565   -0.65107328393
-0.133333333333  0.666666666667  -0.533333333333  0.49999721022   2.78978003125e-06  0.5             0.4  0.8  4.06677458636e-17   5.5795600625e-06   240.0   48.3521081281  -1.31773526999  -0.651073066976
-0.133333333333  0.666666666667  -0.533333333333  0.499996233797  3.76620304199e-06  0.5             0.4  0.8  3.91795089752e-18   7.53240608398e-06  250.0   46.418023803   -1.31773320149  -0.651072560751
-0.133333333333  0.666666666667  -0.533333333333  0.499996791753  3.20824703613e-06  0.5             0.4  0.8  -1.32708887011e-17  6.41649407227e-06  260.0   44.6327151952  -1.31773438349  -0.651072850022
-0.133333333333  0.666666666667  -0.533333333333  0.49999163066   8.36934009473e-06  0.5             0.4  0.8  -1.16568674201e-17  1.67386801895e-05  270.0   42.9796516694  -1.31772344998  -0.651070174261
-0.133333333333  0.666666666667  -0.533333333333  0.499988561902  1.14380981289e-05  0.5             0.4  0.8  3.76048747263e-17   2.28761962578e-05  280.0   41.4446641098  -1.31771694898  -0.651068583268
-0.133333333333  0.666666666667  -0.533333333333  0.499989398836  1.06011641191e-05  0.5             0.4  0.8  -7.65633081023e-17  2.12023282383e-05  290.0   40.0155377612  -1.31771872198  -0.651069017175
-0.133333333333  0.666666666667  -0.533333333333  0.499976984315  2.30156852588e-05  0.5             0.4  0.8  3.53144976369e-17   4.60313705176e-05  300.0   38.6816865025  -1.31769243368  -0.651062592108
-0.133333333333  0.666666666667  -0.533333333333  0.499968893953  3.11060473506e-05  0.5             0.4  0.8  1.5063633934e-17    6.22120947012e-05  310.0   37.4338901637  -1.31767528351  -0.651058386523
-0.133333333333  0.666666666667  -0.533333333333  0.499958850745  4.11492554639e-05  0.5             0.4  0.8  -7.86927489317e-17  8.22985109277e-05  320.0   36.2640810961  -1.31765400813  -0.65105318027
