#mu0  mu1  mu2   x0              x1                 x2              mua  mub  xa                  xb                 T       b              u                phi
-0.2  0.8  -0.6  0.5             0.0                0.5             0.4  1.0  0.0                 0.0                30.0    386.816865025  -1.31774118      -0.51774118
-0.2  0.8  -0.6  0.499999860511  1.39489001953e-07  0.5             0.4  1.0  4.84892480985e-17   2.78978003906e-07  40.0    290.112648769  -1.3177408845    -0.517741163478
-0.2  0.8  -0.6  0.499998884088  1.1159120127e-06   0.5             0.4  1.0  1.17394531325e-17   2.23182402539e-06  50.0    232.090119015  -1.317738816     -0.517741047822
-0.2  0.8  -0.6  0.49999442044   5.5795600625e-06   0.5             0.4  1.0  8.13354917271e-17   1.1159120125e-05   60.0    193.408432513  -1.31772936718   -0.517740526301
-0.2  0.8  -0.6  0.409663295868  0.0903367041316    0.5             0.4  1.0  -8.32667268469e-17  0.180673408263     70.0    165.778656439  -1.14856172826   -0.529235136524
-0.2  0.8  -0.6  0.380860211934  0.119139788066     0.5             0.4  1.0  0.0                 0.238279576132     80.0    145.056324384  -1.096012029     -0.534291605132
-0.2  0.8  -0.6  0.378857986805  0.121142013195     0.5             0.4  1.0  -4.16333634234e-17  0.242284026389     90.0    128.938955008  -1.09307244592   -0.535356472309
-0.2  0.8  -0.6  0.37540940022   0.12459059978      0.5             0.4  1.0  0.0                 0.249181199561     100.0   116.045059507  -1.09067821507   -0.539859414626
-0.2  0.8  -0.6  0.375039196409  0.124960803591     0.5             0.4  1.0  -1.38777878078e-17  0.249921607181     110.0   105.495508643  -1.09537187618   -0.545293483364
-0.2  0.8  -0.6  0.375           0.125              0.5             0.4  1.0  0.0                 0.25               120.0   96.7042162563  -1.0962069887    -0.546206988699
-0.2  0.8  -0.6  0.375           0.125              0.5             0.4  1.0  0.0                 0.25               130.0   89.2654303904  -1.0962069887    -0.546206988699
-0.2  0.8  -0.6  0.375           0.125              0.5             0.4  1.0  0.0                 0.25               140.0   82.8893282196  -1.0962069887    -0.546206988699
-0.2  0.8  -0.6  0.375           0.125              0.5             0.4  1.0  0.0                 0.25               150.0   77.363373005   -1.0962069887    -0.546206988699
-0.2  0.8  -0.6  0.375000278978  0.124999721022     0.5             0.4  1.0  -1.38777878078e-17  0.249999442044     160.0   72.5281621922  -1.0962074565    -0.546206898547
-0.2  0.8  -0.6  0.375           0.125              0.5             0.4  1.0  0.0                 0.25               170.0   68.2617997103  -1.0962069887    -0.546206988699
-0.2  0.8  -0.6  0.375           0.125              0.5             0.4  1.0  0.0                 0.25               180.0   64.4694775042  -1.0962069887    -0.546206988699
-0.2  0.8  -0.6  0.375000278978  0.124999721022     0.5             0.4  1.0  -1.38777878078e-17  0.249999442044     190.0   61.0763471092  -1.09620742815   -0.546206870198
-0.2  0.8  -0.6  0.375000836934  0.124999163066     0.5             0.4  1.0  0.0                 0.249998326132     200.0   58.0225297537  -1.09620838294   -0.546206709073
-0.2  0.8  -0.6  0.375002231824  0.124997768176     0.5             0.4  1.0  -2.77555756156e-17  0.249995536352     210.0   55.2595521464  -1.0962106486    -0.546206184956
-0.2  0.8  -0.6  0.375000697445  0.124999302555     0.5             0.4  1.0  -6.93889390391e-17  0.24999860511      220.0   52.7477543216  -1.09620815821   -0.546206763319
-0.2  0.8  -0.6  0.375001534379  0.124998465621     0.5             0.4  1.0  4.16333634234e-17   0.249996931242     230.0   50.4543736989  -1.09620953411   -0.546206465354
-0.2  0.8  -0.6  0.37500139489   0.12499860511      0.5             0.4  1.0  -1.38777878078e-17  0.24999721022      240.0   48.3521081281  -1.09620928187   -0.546206492091
-0.2  0.8  -0.6  0.375003068758  0.124996931242     0.5             0.4  1.0  -5.55111512313e-17  0.249993862484     250.0   46.418023803   -1.0962121162    -0.546205978688
-0.2  0.8  -0.6  0.375005440071  0.124994559929     0.5             0.4  1.0  -1.38777878078e-17  0.249989119858     260.0   44.6327151952  -1.09621592874   -0.546205048595
-0.2  0.8  -0.6  0.375010880142  0.124989119858     0.5             0.4  1.0  6.93889390391e-17   0.249978239716     270.0   42.9796516694  -1.09622471744   -0.54620295716
-0.2  0.8  -0.6  0.375006277005  0.124993722995     0.5             0.4  1.0  6.93889390391e-17   0.24998744599      280.0   41.4446641098  -1.09621700287   -0.546204448861
-0.2  0.8  -0.6  0.375014088389  0.124985911611     0.5             0.4  1.0  -2.77555756156e-17  0.249971823222     290.0   40.0155377612  -1.09622967377   -0.546201496988
-0.2  0.8  -0.6  0.375015204301  0.124984795699     0.5             0.4  1.0  6.93889390391e-17   0.249969591398     300.0   38.6816865025  -1.09623161362   -0.546201205016
-0.2  0.8  -0.6  0.375022178751  0.124977821249     0.5             0.4  1.0  -1.38777878078e-17  0.249955642497     310.0   37.4338901637  -1.09624298243   -0.546198624923
-0.2  0.8  -0.6  0.375023155174  0.124976844826     0.5             0.4  1.0  2.77555756156e-17   0.249953689651     320.0   36.2640810961  -1.09624435013   -0.546198039777
-0.2  0.8  -0.6  0.375026084443  0.124973915557     0.5             0.4  1.0  5.55111512313e-17   0.249947831113     330.0   35.1651695477  -1.0962494399    -0.546197271018
-0.2  0.8  -0.6  0.375036546118  0.124963453882     0.5             0.4  1.0  -2.77555756156e-17  0.249926907763     340.0   34.1308998551  -1.09626586138   -0.546192769142
-0.2  0.8  -0.6  0.37504477597   0.12495522403      0.5             0.4  1.0  1.38777878078e-17   0.249910448061     350.0   33.1557312879  -1.09627881098   -0.546189259045
-0.2  0.8  -0.6  0.375044357502  0.124955642498     0.5             0.4  1.0  -1.38777878078e-17  0.249911284995     360.0   32.2347387521  -1.09627782972   -0.546189114717
-0.2  0.8  -0.6  0.375063885963  0.124936114037     0.5             0.4  1.0  5.55111512313e-17   0.249872228075     370.0   31.3635295966  -1.09630878388   -0.546181011957
-0.2  0.8  -0.6  0.375072115814  0.124927884186     0.5             0.4  1.0  0.0                 0.249855768372     380.0   30.5381735546  -1.09632219746   -0.546177965836
-0.2  0.8  -0.6  0.375090528362  0.124909471638     0.5             0.4  1.0  -2.77555756156e-17  0.249818943276     390.0   29.7551434635  -1.09635080287   -0.54616974615
-0.2  0.8  -0.6  0.375093736609  0.124906263391     0.5             0.4  1.0  -1.38777878078e-17  0.249812526782     400.0   29.0112648769  -1.09635528225   -0.546167809033
-0.2  0.8  -0.6  0.375119542074  0.124880457926     0.5             0.4  1.0  4.16333634234e-17   0.249760915851     410.0   28.3036730506  -1.09639578679   -0.546156702645
-0.2  0.8  -0.6  0.375135862288  0.124864137712     0.5             0.4  1.0  -1.38777878078e-17  0.249728275425     420.0   27.6297760732  -1.09642125971   -0.546149535133
-0.2  0.8  -0.6  0.375144371117  0.124855907861     0.499999721022  0.4  1.0  5.57956005898e-07   0.249711815723     430.0   26.9872231413  -1.09643318008   -0.546145218985
-0.2  0.8  -0.6  0.375184264971  0.124815735029     0.5             0.4  1.0  6.93889390391e-17   0.249631470058     440.0   26.3738771608  -1.09649593841   -0.546127408471
-0.2  0.8  -0.6  0.3751369782    0.124863579756     0.499999442044  0.4  1.0  1.11591201168e-06   0.249727159513     450.0   25.7877910017  -1.09794093687   -0.547668542749
-0.2  0.8  -0.6  0.375043102101  0.124957176877     0.499999721022  0.4  1.0  5.57956005787e-07   0.249914353753     460.0   25.2271868495  -1.09995140955   -0.549865986481
-0.2  0.8  -0.6  0.375043520568  0.12495675841      0.499999721022  0.4  1.0  5.57956005828e-07   0.249913516819     470.0   24.6904381931  -1.09995198821   -0.549865728215
-0.2  0.8  -0.6  0.375063467496  0.124936671993     0.499999860511  0.4  1.0  2.78978003851e-07   0.249873343987     480.0   24.1760540641  -1.09997950526   -0.54985296084
-0.2  0.8  -0.6  0.375062491073  0.124938206372     0.499999302555  0.4  1.0  1.39489001552e-06   0.249876412745     490.0   23.6826652056  -1.09997634827   -0.549853318974
-0.2  0.8  -0.6  0.375077137418  0.124923978494     0.499998884088  0.4  1.0  2.23182402542e-06   0.249847956988     500.0   23.2090119015  -1.09999438788   -0.549843237602
-0.2  0.8  -0.6  0.375082438     0.124919096379     0.499998465621  0.4  1.0  3.06875803517e-06   0.249838192758     510.0   22.7539332368  -1.10000057112   -0.549839991378
-0.2  0.8  -0.6  0.375098897702  0.124903473611     0.499997628687  0.4  1.0  4.74262605371e-06   0.249806947222     520.0   22.3163575976  -1.10002027368   -0.549829117955
-0.2  0.8  -0.6  0.37510894091   0.124893988359     0.499997070731  0.4  1.0  5.85853806639e-06   0.249787976718     530.0   21.8952942467  -1.10003210534   -0.549822425476
-0.2  0.8  -0.6  0.375134048931  0.124870414718     0.499995536352  0.4  1.0  8.92729609961e-06   0.249740829435     540.0   21.4898258347  -1.10006107807   -0.549805478426
-0.2  0.8  -0.6  0.3751369782    0.124866788003     0.499996233797  0.4  1.0  7.53240608396e-06   0.249733576007     550.0   21.0991017286  -1.10006636166   -0.549802950632
-0.2  0.8  -0.6  0.375175616653  0.124828010061     0.499996373286  0.4  1.0  7.25342808208e-06   0.249656020122     560.0   20.7223320549  -1.10011906563   -0.549777987125
-0.2  0.8  -0.6  0.375188449641  0.124815735029     0.49999581533   0.4  1.0  8.36934009481e-06   0.249631470058     570.0   20.3587823697  -1.10013485102   -0.549769668819
-0.2  0.8  -0.6  0.375208536057  0.124797182992     0.499994280951  0.4  1.0  1.14380981289e-05   0.249594365983     580.0   20.0077688806  -1.10015695952   -0.549755900741
-0.2  0.8  -0.6  0.375247592978  0.12475826556      0.499994141462  0.4  1.0  1.17170761328e-05   0.249516531121     590.0   19.6686541538  -1.10020888662   -0.549730104574
-0.2  0.8  -0.6  0.375275909245  0.124730646738     0.499993444017  0.4  1.0  1.31119661475e-05   0.249461293476     600.0   19.3408432512  -1.10024555862   -0.549712096881
-0.2  0.8  -0.6  0.375300180331  0.124710560322     0.499989259347  0.4  1.0  2.14813062423e-05   0.249421120643     610.0   19.0237802471  -1.10026283621   -0.549692549373
-0.2  0.8  -0.6  0.375319011347  0.124691868796     0.499989119858  0.4  1.0  2.17602842452e-05   0.249383737591     620.0   18.7169450819  -1.10028757725   -0.549680018951
-0.2  0.8  -0.6  0.375359602646  0.124651974941     0.499988422413  0.4  1.0  2.31551742618e-05   0.249303949882     630.0   18.4198507155  -1.1003411126    -0.549654324553
-0.2  0.8  -0.6  0.375382618331  0.124632028014     0.499985353655  0.4  1.0  2.92926903301e-05   0.249264056028     640.0   18.132040548   -1.10035663733   -0.549632410433
-0.2  0.8  -0.6  0.375440366778  0.12457665088      0.499982982342  0.4  1.0  3.40353163828e-05   0.24915330176      650.0   17.8530860781  -1.10042769077   -0.549594606656
-0.2  0.8  -0.6  0.375468264578  0.124549729503     0.499982005919  0.4  1.0  3.59881624052e-05   0.249099459006     660.0   17.5825847739  -1.10046294788   -0.549576802148
-0.2  0.8  -0.6  0.37553089514   0.124494910325     0.499974194535  0.4  1.0  5.16109305821e-05   0.248989820651     670.0   17.3201581354  -1.10051933319   -0.549529798209
-0.2  0.8  -0.6  0.375547494331  0.124480821936     0.499971683733  0.4  1.0  5.66325346387e-05   0.248961643872     680.0   17.0654499276  -1.10053259986   -0.549516896744
-0.2  0.8  -0.6  0.375627561018  0.12440340554      0.499969033442  0.4  1.0  6.19331166973e-05   0.248806811081     690.0   16.8181245663  -1.10063399577   -0.549465580093
-0.2  0.8  -0.6  0.375649460791  0.124392804376     0.499957734833  0.4  1.0  8.45303349521e-05   0.248785608752     700.0   16.5778656439  -1.1006236311    -0.54944305199
-0.2  0.8  -0.6  0.37572645872   0.124315666958     0.499957874322  0.4  1.0  8.42513569492e-05   0.248631333917     710.0   16.3443745785  -1.10072398879   -0.549389023254
-0.2  0.8  -0.6  0.375772908558  0.124272704346     0.499954387096  0.4  1.0  9.12258070274e-05   0.248545408692     720.0   16.117369376   -1.10077079342   -0.549352692436
-0.2  0.8  -0.6  0.375808199275  0.124244946034     0.49994685469   0.4  1.0  0.000106290619197   0.248489892069     730.0   15.8965834942  -1.10078803469   -0.54932044301
-0.2  0.8  -0.6  0.375911421136  0.12415469665      0.499933882213  0.4  1.0  0.00013223557349    0.248309393301     740.0   15.6817647983  -1.10088629479   -0.54924858232
-0.2  0.8  -0.6  0.375958707908  0.12410169083      0.499939601262  0.4  1.0  0.000120797475361   0.24820338166      750.0   15.472674601   -1.10095794149   -0.549209642143
-0.2  0.8  -0.6  0.376007947525  0.124075327409     0.499916725066  0.4  1.0  0.000166549867877   0.248150654817     760.0   15.2690867773  -1.10095822713   -0.549175501899
-0.2  0.8  -0.6  0.376109356029  0.123976987662     0.499913656308  0.4  1.0  0.000172687383945   0.247953975325     770.0   15.070786949   -1.10107216975   -0.549095220028
-0.2  0.8  -0.6  0.376142275434  0.123949647818     0.499908076748  0.4  1.0  0.00018384650407    0.247899295636     780.0   14.8775717317  -1.10108297071   -0.549055804952
