#mu0  mu1  mu2   x0              x1              x2              mua  mub  xa                 xb              T       b              u                phi
-0.3  1.1  -0.8  0.333781976459  0.172174761864  0.494043261677  0.5  1.4  0.0119134766462    0.344349523729  30.0    386.816865025  -0.948937573555  -0.336983645099
-0.3  1.1  -0.8  0.333386525139  0.172472849861  0.494140625     0.5  1.4  0.01171875         0.344945699721  40.0    290.112648769  -0.94839586055   -0.33717921516
-0.3  1.1  -0.8  0.335594078078  0.1702655759    0.494140346022  0.5  1.4  0.011719307956     0.3405311518    50.0    232.090119015  -0.95602748319   -0.338630749688
-0.3  1.1  -0.8  0.33575588532   0.17010348968   0.494140625     0.5  1.4  0.01171875         0.34020697936   60.0    193.408432513  -0.956601435833  -0.338750581937
-0.3  1.1  -0.8  0.335253166958  0.170944329382  0.49380250366   0.5  1.4  0.0123949926796    0.341888658763  70.0    165.778656439  -0.95481388636   -0.339655504968
-0.3  1.1  -0.8  0.333138374205  0.173577323775  0.493284302019  0.5  1.4  0.0134313959613    0.34715464755   80.0    145.056324384  -0.951082111456  -0.343814316007
-0.3  1.1  -0.8  0.333158879089  0.173520272774  0.493320848138  0.5  1.4  0.0133583037245    0.347040545547  90.0    128.938955008  -0.951288386102  -0.34382430173
-0.3  1.1  -0.8  0.333151904639  0.173512740367  0.493335354994  0.5  1.4  0.0133292900121    0.347025480735  100.0   116.045059507  -0.951347191773  -0.343847509808
-0.3  1.1  -0.8  0.334258889355  0.17265460403   0.493086506615  0.5  1.4  0.0138269867697    0.34530920806   110.0   105.495508643  -0.955806462282  -0.346152846951
-0.3  1.1  -0.8  0.333936948739  0.170630618617  0.495432432644  0.5  1.4  0.0091351347129    0.341261237234  120.0   96.7042162563  -0.965508871059  -0.347842170543
-0.3  1.1  -0.8  0.334077274675  0.16799106824   0.497931657085  0.5  1.4  0.0041366858306    0.335982136481  130.0   89.2654303904  -0.975983468022  -0.34842680201
-0.3  1.1  -0.8  0.33211089822   0.167961915039  0.499927186741  0.5  1.4  0.000145626517641  0.335923830078  140.0   82.8893282196  -0.979397767023  -0.349763942391
-0.3  1.1  -0.8  0.331571494251  0.168439246402  0.499989259347  0.5  1.4  2.14813062421e-05  0.336878492805  150.0   77.363373005   -0.978612074076  -0.350252704656
-0.3  1.1  -0.8  0.331431028826  0.168586965255  0.499982005919  0.5  1.4  3.59881624061e-05  0.33717393051   160.0   72.5281621922  -0.978571606937  -0.350633103732
-0.3  1.1  -0.8  0.330822159334  0.169178538111  0.499999302555  0.5  1.4  1.39489001555e-06  0.338357076221  170.0   68.2617997103  -0.977928688216  -0.351629292371
-0.3  1.1  -0.8  0.33067611435   0.169324722584  0.499999163066  0.5  1.4  1.67386801864e-06  0.338649445169  180.0   64.4694775042  -0.977888895643  -0.351998955813
-0.3  1.1  -0.8  0.330627014221  0.169374938625  0.499998047154  0.5  1.4  3.905692044e-06    0.33874987725   190.0   61.0763471092  -0.977706876522  -0.351958657517
-0.3  1.1  -0.8  0.33033101856   0.169674700489  0.499994280951  0.5  1.4  1.1438098129e-05   0.339349400978  200.0   58.0225297537  -0.976851233468  -0.351946113886
