#mu0  mu1  mu2   x0              x1              x2              mua  mub  xa              xb              T       b              u                phi
-0.3  1.2  -0.9  0.355120724941  0.327017038861  0.317862236198  0.6  1.5  0.364275527603  0.654034077721  30.0    386.816865025  -0.345378036276  -0.344994469419
-0.3  1.2  -0.9  0.354863507222  0.327290158326  0.317846334452  0.6  1.5  0.364307331096  0.654580316651  40.0    290.112648769  -0.344932787223  -0.345387660858
-0.3  1.2  -0.9  0.354474332908  0.333115498009  0.312410169083  0.6  1.5  0.375179661834  0.666230996018  50.0    232.090119015  -0.32303853698   -0.347492828108
-0.3  1.2  -0.9  0.357000199748  0.333987862225  0.309011938027  0.6  1.5  0.381976123947  0.66797572445   60.0    193.408432513  -0.318019352449  -0.349168613492
-0.3  1.2  -0.9  0.357436800323  0.334400889159  0.308162310518  0.6  1.5  0.383675378964  0.668801778317  70.0    165.778656439  -0.315834341366  -0.349242236221
-0.3  1.2  -0.9  0.360271495813  0.336773736564  0.302954767622  0.6  1.5  0.394090464755  0.673547473129  80.0    145.056324384  -0.30412038653   -0.350895875077
-0.3  1.2  -0.9  0.364673489725  0.335021336238  0.300305174038  0.6  1.5  0.399389651925  0.670042672475  90.0    128.938955008  -0.309602962786  -0.354300762654
-0.3  1.2  -0.9  0.363491041458  0.334685865189  0.301823093353  0.6  1.5  0.396353813295  0.669371730378  100.0   116.045059507  -0.312725723983  -0.354595607526
-0.3  1.2  -0.9  0.363134368081  0.334972236109  0.30189339581   0.6  1.5  0.396213208381  0.669944472218  110.0   105.495508643  -0.31262221154   -0.355266844896
-0.3  1.2  -0.9  0.36597338773   0.334368946177  0.299657666092  0.6  1.5  0.400684667815  0.668737892355  120.0   96.7042162563  -0.312756241014  -0.356273880236
-0.3  1.2  -0.9  0.366482801564  0.335012408942  0.298504789494  0.6  1.5  0.402990421011  0.670024817883  130.0   89.2654303904  -0.309970557156  -0.356802036587
-0.3  1.2  -0.9  0.366584628535  0.335473141114  0.297942230351  0.6  1.5  0.404115539298  0.670946282228  140.0   82.8893282196  -0.307877919328  -0.356766666248
-0.3  1.2  -0.9  0.365321276648  0.337058712595  0.297620010757  0.6  1.5  0.404759978485  0.674117425189  150.0   77.363373005   -0.303290294021  -0.357322418896
-0.3  1.2  -0.9  0.365533997375  0.337239071874  0.297226930751  0.6  1.5  0.405546138498  0.674478143747  160.0   72.5281621922  -0.302760427567  -0.357805326287
-0.3  1.2  -0.9  0.365568730137  0.337407714077  0.297023555787  0.6  1.5  0.405952888427  0.674815428153  170.0   68.2617997103  -0.302314913199  -0.358109788484
