#mu0  mu1   mu2   x0              x1                 x2              mua  mub   xa              xb                 T       b              u               phi
0.8   -0.6  -0.2  0.609500819079  0.0                0.390499180921  1.0  -1.4  0.219001638159  0.0                30.0    386.816865025  -1.10458970872  -1.92359134688
0.8   -0.6  -0.2  0.610386853217  0.0                0.389613146783  1.0  -1.4  0.220773706435  0.0                40.0    290.112648769  -1.10306330525  -1.92383701169
0.8   -0.6  -0.2  0.610085138507  0.0                0.389914861493  1.0  -1.4  0.220170277014  0.0                50.0    232.090119015  -1.10422815458  -1.92439843159
0.8   -0.6  -0.2  0.610498444419  0.0                0.389501555581  1.0  -1.4  0.220996888837  0.0                60.0    193.408432513  -1.10359188984  -1.92458877868
0.8   -0.6  -0.2  0.612143159236  0.0                0.387856840764  1.0  -1.4  0.224286318472  0.0                70.0    165.778656439  -1.10060933874  -1.92489565721
0.8   -0.6  -0.2  0.614194066026  0.0                0.385805933974  1.0  -1.4  0.228388132053  0.0                80.0    145.056324384  -1.09681195764  -1.9252000897
0.8   -0.6  -0.2  0.614668747099  0.0                0.385331252901  1.0  -1.4  0.229337494197  0.0                90.0    128.938955008  -1.09624380055  -1.92558129475
0.8   -0.6  -0.2  0.61628082149   0.0                0.38371917851   1.0  -1.4  0.23256164298   0.0                100.0   116.045059507  -1.0937912958   -1.92635293878
0.8   -0.6  -0.2  0.616763034968  0.0                0.383236965032  1.0  -1.4  0.233526069936  0.0                110.0   105.495508643  -1.09295740783  -1.92648347777
0.8   -0.6  -0.2  0.616527996001  0.0                0.383472003999  1.0  -1.4  0.233055992001  0.0                120.0   96.7042162563  -1.09339498038  -1.92645097238
0.8   -0.6  -0.2  0.616221957131  0.0                0.383778042869  1.0  -1.4  0.232443914262  0.0                130.0   89.2654303904  -1.09396586375  -1.92640977802
0.8   -0.6  -0.2  0.615511260668  0.0                0.384488739332  1.0  -1.4  0.231022521336  0.0                140.0   82.8893282196  -1.09527956296  -1.92630208429
0.8   -0.6  -0.2  0.614825672225  0.0                0.385174327775  1.0  -1.4  0.229651344451  0.0                150.0   77.363373005   -1.09655148361  -1.92620282806
0.8   -0.6  -0.2  0.614271482422  0.0                0.385728517578  1.0  -1.4  0.228542964844  0.0                160.0   72.5281621922  -1.09755553099  -1.92609849584
0.8   -0.6  -0.2  0.613387819597  0.0                0.386612180403  1.0  -1.4  0.226775639194  0.0                170.0   68.2617997103  -1.09914909604  -1.92592473523
0.8   -0.6  -0.2  0.612225457747  0.0                0.387774542253  1.0  -1.4  0.224450915494  0.0                180.0   64.4694775042  -1.10117286924  -1.92562378473
0.8   -0.6  -0.2  0.61295289289   0.0                0.38704710711   1.0  -1.4  0.225905785781  0.0                190.0   61.0763471092  -1.09907263529  -1.92497842107
0.8   -0.6  -0.2  0.611423674966  0.0                0.388576325034  1.0  -1.4  0.222847349932  0.0                200.0   58.0225297537  -1.10127718699  -1.92412453692
0.8   -0.6  -0.2  0.610378762855  0.0                0.389621237145  1.0  -1.4  0.220757525711  0.0                210.0   55.2595521464  -1.10313969252  -1.92389721823
0.8   -0.6  -0.2  0.608564150434  0.0                0.391435849566  1.0  -1.4  0.217128300868  0.0                220.0   52.7477543216  -1.10625681817  -1.92338511904
0.8   -0.6  -0.2  0.607916084533  0.0                0.392083915467  1.0  -1.4  0.215832169065  0.0                230.0   50.4543736989  -1.10742051921  -1.92325268828
0.8   -0.6  -0.2  0.60696923319   0.0                0.39303076681   1.0  -1.4  0.21393846638   0.0                240.0   48.3521081281  -1.10912537903  -1.92306384541
0.8   -0.6  -0.2  0.606384495295  0.0                0.393615504705  1.0  -1.4  0.212768990591  0.0                250.0   46.418023803   -1.11016519704  -1.92293418763
0.8   -0.6  -0.2  0.605192282799  0.0                0.394807717201  1.0  -1.4  0.210384565598  0.0                260.0   44.6327151952  -1.11234635173  -1.92273091733
0.8   -0.6  -0.2  0.604617169645  0.0                0.395382830355  1.0  -1.4  0.209234339291  0.0                270.0   42.9796516694  -1.11335392602  -1.92258826531
0.8   -0.6  -0.2  0.603809667815  0.0                0.396190332185  1.0  -1.4  0.207619335631  0.0                280.0   41.4446641098  -1.11485815277  -1.9224774884
0.8   -0.6  -0.2  0.603096181572  0.0                0.396903818428  1.0  -1.4  0.206192363145  0.0                290.0   40.0155377612  -1.1161252768   -1.92231763995
0.8   -0.6  -0.2  0.602292585434  0.0                0.397707414566  1.0  -1.4  0.204585170868  0.0                300.0   38.6816865025  -1.11758937159  -1.92217454246
0.8   -0.6  -0.2  0.601749833729  0.0                0.398250166271  1.0  -1.4  0.203499667458  0.0                310.0   37.4338901637  -1.11854308403  -1.92204275149
0.8   -0.6  -0.2  0.601040671645  0.0                0.398959328355  1.0  -1.4  0.20208134329   0.0                320.0   36.2640810961  -1.11984068665  -1.92192202994
0.8   -0.6  -0.2  0.600547717514  0.0                0.399452282486  1.0  -1.4  0.201095435027  0.0                330.0   35.1651695477  -1.12070605591  -1.92180149093
0.8   -0.6  -0.2  0.600267484109  0.0                0.399732515891  1.0  -1.4  0.200534968219  0.0                340.0   34.1308998551  -1.12115727847  -1.92169224669
0.8   -0.6  -0.2  0.599325096415  0.0                0.400674903585  1.0  -1.4  0.19865019283   0.0                350.0   33.1557312879  -1.12290504038  -1.92155523321
0.8   -0.6  -0.2  0.599275019863  0.0                0.400724980137  1.0  -1.4  0.198550039726  0.0                360.0   32.2347387521  -1.12292683448  -1.92147687421
0.8   -0.6  -0.2  0.598774951793  0.0                0.401225048207  1.0  -1.4  0.197549903585  0.0                370.0   31.3635295966  -1.12381267399  -1.92136257758
0.8   -0.6  -0.2  0.598383127187  0.0                0.401616872813  1.0  -1.4  0.196766254374  0.0                380.0   30.5381735546  -1.12447967151  -1.92124592588
0.8   -0.6  -0.2  0.598060349638  0.0                0.401939650362  1.0  -1.4  0.196120699275  0.0                390.0   29.7551434635  -1.12503491611  -1.92115561539
0.8   -0.6  -0.2  0.597634629205  0.0                0.402365370795  1.0  -1.4  0.19526925841   0.0                400.0   29.0112648769  -1.125774965    -1.92104422341
0.8   -0.6  -0.2  0.597481470281  0.0                0.402518529719  1.0  -1.4  0.194962940562  0.0                410.0   28.3036730506  -1.12600520468  -1.92096814524
0.8   -0.6  -0.2  0.597194541405  0.0                0.402805458595  1.0  -1.4  0.19438908281   0.0                420.0   27.6297760732  -1.12647844393  -1.92086752674
0.8   -0.6  -0.2  0.596918911138  0.0                0.403081088862  1.0  -1.4  0.193837822275  0.0                430.0   26.9872231413  -1.12692308159  -1.92076090386
0.8   -0.6  -0.2  0.596597946945  0.0                0.403402053055  1.0  -1.4  0.19319589389   0.0                440.0   26.3738771608  -1.12746016165  -1.92065605554
0.8   -0.6  -0.2  0.596324966969  0.0                0.403675033031  1.0  -1.4  0.192649933938  0.0                450.0   25.7877910017  -1.12794989219  -1.92059982613
0.8   -0.6  -0.2  0.596268752901  0.0                0.403731247099  1.0  -1.4  0.192537505803  0.0                460.0   25.2271868495  -1.12792163451  -1.92045914031
0.8   -0.6  -0.2  0.596050731592  0.0                0.403949268408  1.0  -1.4  0.192101463184  0.0                470.0   24.6904381931  -1.12829175887  -1.92039322205
0.8   -0.6  -0.2  0.596014324963  0.0                0.403985675037  1.0  -1.4  0.192028649925  0.0                480.0   24.1760540641  -1.12827286075  -1.92030151067
0.8   -0.6  -0.2  0.595801743724  0.0                0.404198256276  1.0  -1.4  0.191603487448  0.0                490.0   23.6826652056  -1.12863013504  -1.92023362248
0.8   -0.6  -0.2  0.595642307795  0.0                0.404357692205  1.0  -1.4  0.191284615591  0.0                500.0   23.2090119015  -1.12881222334  -1.92009683893
0.8   -0.6  -0.2  0.595541317758  0.0                0.404458682242  1.0  -1.4  0.191082635516  0.0                510.0   22.7539332368  -1.12893732865  -1.92001996416
0.8   -0.6  -0.2  0.595533924841  0.0                0.404466075159  1.0  -1.4  0.191067849682  0.0                520.0   22.3163575976  -1.1288637825   -1.91993163218
0.8   -0.6  -0.2  0.595485801136  0.0                0.404514198864  1.0  -1.4  0.190971602271  0.0                530.0   21.8952942467  -1.12888659441  -1.91985819668
0.8   -0.6  -0.2  0.595288982154  0.0                0.404711017846  1.0  -1.4  0.190577964309  0.0                540.0   21.4898258347  -1.12918025914  -1.91975822345
0.8   -0.6  -0.2  0.595197198391  0.0                0.404802801609  1.0  -1.4  0.190394396783  0.0                550.0   21.0991017286  -1.12926912451  -1.91966352129
0.8   -0.6  -0.2  0.595140007901  0.0                0.404859992099  1.0  -1.4  0.190280015801  0.0                560.0   20.7223320549  -1.12930452934  -1.91958454514
