#mu0  mu1  mu2   x0              x1                 x2              mua  mub  xa              xb                 T       b              u                phi
0.2   0.9  -1.1  0.689323121251  0.0                0.310676878749  1.3  0.7  0.378646242501  0.0                30.0    386.816865025  -0.919511664145  -0.511751779396
0.2   0.9  -1.1  0.689753723798  0.0                0.310246276202  1.3  0.7  0.379507447597  0.0                40.0    290.112648769  -0.919279738249  -0.512639420124
0.2   0.9  -1.1  0.689791664807  0.0                0.310208335193  1.3  0.7  0.379583329614  0.0                50.0    232.090119015  -0.919786240289  -0.513244568786
0.2   0.9  -1.1  0.689254632151  0.0                0.310745367849  1.3  0.7  0.378509264302  0.0                60.0    193.408432513  -0.921699576393  -0.513761619985
0.2   0.9  -1.1  0.689173031085  0.0                0.310826968915  1.3  0.7  0.37834606217   0.0                70.0    165.778656439  -0.922502504017  -0.514352384837
0.2   0.9  -1.1  0.688634743028  0.0                0.311365256972  1.3  0.7  0.377269486056  0.0                80.0    145.056324384  -0.924955077053  -0.515405408925
0.2   0.9  -1.1  0.687418677912  0.0                0.312581322088  1.3  0.7  0.374837355824  0.0                90.0    128.938955008  -0.928976444719  -0.516265007291
0.2   0.9  -1.1  0.686334011436  0.0                0.313665988564  1.3  0.7  0.372668022872  0.0                100.0   116.045059507  -0.932090710669  -0.516559140402
0.2   0.9  -1.1  0.684980689143  0.0                0.315019310857  1.3  0.7  0.369961378285  0.0                110.0   105.495508643  -0.936312673147  -0.517262464918
0.2   0.9  -1.1  0.685534181501  0.0                0.314465818499  1.3  0.7  0.371068363002  0.0                120.0   96.7042162563  -0.936070066     -0.518458937902
0.2   0.9  -1.1  0.686983751205  0.0                0.313016248795  1.3  0.7  0.37396750241   0.0                130.0   89.2654303904  -0.93307173013   -0.519229483264
0.2   0.9  -1.1  0.685070659549  0.0                0.314929340451  1.3  0.7  0.370141319097  0.0                140.0   82.8893282196  -0.939470794511  -0.520654509338
0.2   0.9  -1.1  0.683438498741  1.39489001953e-07  0.31656136177   1.3  0.7  0.366877276461  2.78978003906e-07  150.0   77.363373005   -0.945246458476  -0.52218711316
0.2   0.9  -1.1  0.684213220656  4.18467004883e-07  0.315786360877  1.3  0.7  0.368427278246  8.36934009766e-07  160.0   72.5281621922  -0.943601796017  -0.52255784359
0.2   0.9  -1.1  0.685028115403  0.0                0.314971884597  1.3  0.7  0.370056230806  0.0                170.0   68.2617997103  -0.941452216066  -0.522525316114
0.2   0.9  -1.1  0.684630850727  1.39489001953e-07  0.315369009784  1.3  0.7  0.369261980431  2.78978003906e-07  180.0   64.4694775042  -0.942376523947  -0.522417293792
0.2   0.9  -1.1  0.684165794395  4.18467004883e-07  0.315833787138  1.3  0.7  0.368332425725  8.36934009766e-07  190.0   61.0763471092  -0.943655000991  -0.522487740287
0.2   0.9  -1.1  0.684235259918  6.97445007813e-07  0.315764042637  1.3  0.7  0.368471914726  1.39489001563e-06  200.0   58.0225297537  -0.943516904211  -0.522531369778
0.2   0.9  -1.1  0.686965478146  1.39489001953e-07  0.313034382365  1.3  0.7  0.37393123527   2.78978003906e-07  210.0   55.2595521464  -0.936788586388  -0.522899387524
0.2   0.9  -1.1  0.687465406728  1.53437901758e-06  0.312533058893  1.3  0.7  0.374933882213  3.06875803516e-06  220.0   52.7477543216  -0.935747815085  -0.523164010092
0.2   0.9  -1.1  0.687443227976  1.53437901758e-06  0.312555237645  1.3  0.7  0.374889524711  3.06875803516e-06  230.0   50.4543736989  -0.935795107725  -0.523153637979
0.2   0.9  -1.1  0.687379760481  2.78978003125e-06  0.312617449739  1.3  0.7  0.374765100521  5.5795600625e-06   240.0   48.3521081281  -0.935920351678  -0.523118888048
0.2   0.9  -1.1  0.686580906969  6.97445007813e-06  0.313412118581  1.3  0.7  0.373175762837  1.39489001563e-05  250.0   46.418023803   -0.937697543219  -0.522835799138
0.2   0.9  -1.1  0.685617037968  6.41649407227e-06  0.314376545538  1.3  0.7  0.371246908924  1.28329881445e-05  260.0   44.6327151952  -0.939770757972  -0.522400722665
